Time_s,delta_e,yRate_rad_s
0.00339937,0,-0.00538181
0.007305145,0,-0.011031355
0.010825157,0,-0.016083477
0.014677525,0,-0.021574173
0.021179676,0,-0.030771337
0.024924278,0,-0.036000732
0.0287714,0,-0.041334148
0.035423279,0,-0.050487131
0.03921175,0,-0.055633273
0.043005943,0,-0.060749691
0.049275875,0,-0.069143206
0.052989483,0,-0.074055247
0.056717873,0,-0.078952059
0.060574532,0,-0.083981566
0.066837788,0,-0.092090026
0.070602894,0,-0.096906945
0.074554443,0,-0.10192664
0.078258991,0,-0.106597707
0.084048271,0,-0.113846801
0.08779335,0,-0.118485577
0.091515541,0,-0.123063788
0.095374584,0,-0.127777383
0.101062775,0,-0.134675235
0.104943752,0,-0.139331758
0.108782291,0,-0.143904075
0.112538338,0,-0.148346141
0.118253708,0,-0.155058071
0.121925354,0,-0.159324005
0.125631332,0,-0.163600296
0.129505157,0,-0.168039247
0.135341644,0,-0.174678609
0.138989925,0,-0.178783283
0.142790794,0,-0.183030203
0.14664793,0,-0.187309012
0.152365685,0,-0.193605423
0.156035423,0,-0.197602585
0.159620762,0,-0.201480374
0.16347456,0,-0.205619767
0.169374943,0,-0.211910233
0.173081875,0,-0.215817004
0.176801682,0,-0.219708905
0.183036327,0,-0.226184249
0.186748505,0,-0.229992196
0.190460205,0,-0.233771384
0.19414854,0,-0.23749873
0.200568199,0,-0.24393779
0.204159737,0,-0.247493014
0.208896637,0,-0.252147198
0.212509632,0,-0.255662084
0.219013691,0,-0.261941433
0.222733021,0,-0.265482724
0.227148533,0,-0.269653201
0.233772755,0,-0.27584976
0.237445354,0,-0.279235244
0.241095066,0,-0.282572001
0.244799614,0,-0.285930991
0.250657558,0,-0.291197628
0.254371166,0,-0.294491321
0.258127213,0,-0.297793657
0.262055874,0,-0.301217049
0.267826557,0,-0.306198269
0.271515369,0,-0.309337884
0.275191784,0,-0.312438488
0.278906345,0,-0.315542549
0.284630299,0,-0.320280939
0.288321495,0,-0.323291898
0.292061329,0,-0.326313227
0.295819759,0,-0.329319715
0.301517487,0,-0.333831847
0.305143833,0,-0.336659431
0.308840275,0,-0.339512944
0.312570095,0,-0.342362583
0.318454266,0,-0.346810907
0.322068691,0,-0.349497408
0.325772762,0,-0.352221519
0.329429626,0,-0.354881525
0.335137367,0,-0.358987987
0.338770866,0,-0.361556917
0.342509747,0,-0.3641707
0.346137047,0,-0.366676837
0.351774693,0,-0.370527208
0.355496883,0,-0.373023361
0.359127045,0,-0.37542814
0.362822056,0,-0.37784642
0.368453026,0,-0.381486058
0.372229099,0,-0.383879989
0.375761986,0,-0.386090428
0.379453182,0,-0.388371259
0.385101795,0,-0.391815811
0.389133453,0,-0.394224286
0.392985821,0,-0.396491617
0.396631241,0,-0.39860639
0.402809143,0,-0.402141064
0.406372547,0,-0.40413174
0.409990311,0,-0.406124741
0.416286945,0,-0.40954411
0.419891834,0,-0.411452502
0.423667908,0,-0.413422197
0.428005695,0,-0.415649712
0.433870792,0,-0.418607056
0.437498093,0,-0.420390636
0.441049576,0,-0.422109663
0.444666386,0,-0.423833221
0.450384617,0,-0.426514804
0.454072475,0,-0.428200126
0.457716465,0,-0.429837555
0.461342812,0,-0.431439817
0.467458248,0,-0.434096426
0.471050739,0,-0.435612172
0.47467041,0,-0.437113166
0.478294849,0,-0.438589841
0.484114647,0,-0.440918952
0.48770237,0,-0.442313403
0.491318226,0,-0.443693429
0.495016098,0,-0.44507879
0.500572681,0,-0.447120845
0.504131794,0,-0.448390931
0.507707119,0,-0.449642748
0.511300564,0,-0.450876802
0.516881943,0,-0.452756226
0.520445824,0,-0.45391953
0.524083614,0,-0.45508334
0.527555943,0,-0.456171364
0.533411503,0,-0.457969755
0.536968708,0,-0.459025174
0.5404706,0,-0.460042387
0.544077396,0,-0.461068124
0.549980164,0,-0.462710202
0.553557873,0,-0.463669419
0.557195663,0,-0.464622885
0.560715199,0,-0.465524048
0.566730022,0,-0.467029214
0.570289612,0,-0.467884958
0.573861122,0,-0.468723118
0.577413082,0,-0.469536513
0.583460808,0,-0.470887542
0.587029457,0,-0.471650988
0.590610027,0,-0.472397357
0.594232082,0,-0.47313261
0.600169659,0,-0.474305511
0.603666782,0,-0.474965274
0.607278347,0,-0.475628078
0.611330986,0,-0.476350546
0.618233204,0,-0.477540672
0.621691227,0,-0.478102833
0.625461102,0,-0.478697479
0.628954887,0,-0.479230314
0.634627819,0,-0.480068326
0.638365746,0,-0.480590463
0.64187336,0,-0.481062442
0.645570278,0,-0.481542498
0.651946068,0,-0.482339382
0.655539036,0,-0.482758969
0.659060478,0,-0.483154476
0.665415287,0,-0.483840913
0.668981075,0,-0.484198958
0.672506809,0,-0.484538436
0.676041603,0,-0.484864622
0.679683208,0,-0.485186309
0.685217381,0,-0.485653073
0.688811302,0,-0.485934764
0.692322254,0,-0.486196727
0.696884155,0,-0.486520588
0.702365398,0,-0.486884356
0.706049442,0,-0.487108797
0.709502697,0,-0.487306863
0.713181019,0,-0.487505734
0.718724728,0,-0.487786323
0.722401619,0,-0.487953603
0.725846767,0,-0.488098919
0.729485512,0,-0.488241255
0.734988689,0,-0.488438964
0.738461971,0,-0.488547236
0.742123127,0,-0.48865062
0.745767593,0,-0.488742411
0.751650333,0,-0.488872975
0.755248547,0,-0.488935649
0.758835793,0,-0.488987893
0.762442112,0,-0.489030302
0.767959595,0,-0.489079773
0.771501064,0,-0.489096582
0.775056839,0,-0.489104033
0.77866745,0,-0.489102095
0.784193993,0,-0.489084512
0.787717819,0,-0.48905921
0.791441917,0,-0.489023119
0.794847965,0,-0.488981187
0.800373077,0,-0.488900095
0.803901196,0,-0.488834888
0.807374001,0,-0.488762379
0.810975075,0,-0.488678813
0.816688061,0,-0.488532573
0.820384502,0,-0.488424033
0.823964596,0,-0.488310337
0.827805042,0,-0.488179564
0.833659649,0,-0.487965882
0.837193489,0,-0.487823844
0.841780663,0,-0.487629414
0.845231056,0,-0.487473428
0.851547718,0,-0.487165302
0.855024338,0,-0.486973405
0.859676838,0,-0.486700684
0.863314152,0,-0.486471057
0.868960381,0,-0.486095101
0.872538567,0,-0.485837966
