time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,p,Bx,By,Bz,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s)
0.095745,0.0842,0.6627,0.8538,-0.0465,-0.0569,-0.2575,-0.4177,0.3617,0.0023,847.7953,-21.45,-42.1688,-23.8875,117.2434,-36.5423,9.8922,43.82106655,-111.7874284,0
0.097039,0.1538,0.6393,0.7592,-0.0465,-0.0569,-0.2575,-0.4177,0.3617,0.0023,847.7953,-21.45,-42.1688,-23.8875,117.2434,-36.5423,9.8922,43.82106655,-111.7874284,0
0.097508,0.1763,0.6779,0.6356,-0.0465,-0.0569,-0.2575,-0.4177,0.3617,0.0023,847.7953,-21.45,-42.1688,-23.8875,117.2434,-36.5423,9.8922,43.82106655,-111.7874284,0
0.097948,0.1564,0.6676,0.7556,-0.0465,-0.0569,-0.2575,-0.4177,0.3617,0.0023,847.7953,-21.45,-42.1688,-23.8875,117.2434,-36.5423,9.8922,43.82106655,-111.7874284,0
0.109395,0.1564,0.6676,0.7556,-0.0465,-0.0569,-0.2575,-0.4177,0.3617,0.0023,847.7953,-21.45,-42.1688,-23.8875,117.2434,-36.5423,9.8922,43.82106655,-111.7874284,0
0.129237,0.1564,0.6676,0.7556,-0.0465,-0.0569,-0.2575,-0.4177,0.3617,0.0023,847.7953,-21.45,-42.1688,-23.8875,117.2434,-36.5423,9.8922,43.82106655,-111.7874284,0
0.150123,0.1317,0.6482,0.9416,-0.0465,-0.0569,-0.2575,-0.4177,0.3617,0.0023,847.7953,-21.45,-42.1688,-23.8875,117.2434,-36.5423,9.8922,43.82106655,-111.7874284,0
0.151342,0.1538,0.61,1.0074,-0.0465,-0.0569,-0.2575,-0.4177,0.3617,0.0023,847.7953,-21.45,-42.1688,-23.8875,117.2434,-36.5423,9.8922,43.82106655,-111.7874284,0
0.152177,0.1912,0.6122,0.8933,-0.0465,-0.0569,-0.2575,-0.4177,0.3617,0.0023,847.7953,-21.45,-42.1688,-23.8875,117.2434,-36.5423,9.8922,43.82106655,-111.7874284,0
0.179209,0.1912,0.6122,0.8933,-0.0465,-0.0569,-0.2575,0.149,0.2978,-0.2048,847.7953,-21.45,-42.1688,-23.8875,117.2434,-36.5423,9.8922,43.82106655,-111.7874284,0
0.181115,0.1912,0.6122,0.8933,-0.0465,-0.0569,-0.2575,0.149,0.2978,-0.2048,847.7953,-21.45,-42.1688,-23.8875,117.2434,-36.5423,9.8922,43.82106655,-111.7874284,0
0.188829,0.1912,0.6122,0.8933,-0.0465,-0.0569,-0.2575,0.149,0.2978,-0.2048,847.7953,-20.7188,-42.15,-24.5063,117.2434,-36.5423,9.8922,43.82106655,-111.7874284,0
0.189865,0.1912,0.6122,0.8933,-0.0465,-0.0569,-0.2575,0.149,0.2978,-0.2048,847.7953,-20.7188,-42.15,-24.5063,117.2434,-36.5423,9.8922,43.82106655,-111.7874284,0
0.190698,0.1912,0.6122,0.8933,-0.0465,-0.0569,-0.2575,0.149,0.2978,-0.2048,847.7953,-20.7188,-42.15,-24.5063,117.2434,-36.5423,9.8922,43.82106655,-111.7874284,0
0.21683,0.1801,0.6393,0.7474,-0.0465,-0.0569,-0.2575,0.149,0.2978,-0.2048,847.7953,-20.7188,-42.15,-24.5063,117.2434,-36.5423,9.8922,43.82106655,-111.7874284,0
0.217963,0.08,0.679,0.7652,-0.0465,-0.0569,-0.2575,0.149,0.2978,-0.2048,847.7953,-20.7188,-42.15,-24.5063,117.2434,-36.5423,9.8922,43.82106655,-111.7874284,0
0.218832,0.0169,0.6741,0.827,-0.0465,-0.0569,-0.2575,0.149,0.2978,-0.2048,847.7953,-20.7188,-42.15,-24.5063,117.2434,-36.5423,9.8922,43.82106655,-111.7874284,0
0.220425,0.0169,0.6741,0.827,-0.0465,-0.0569,-0.2575,0.149,0.2978,-0.2048,847.7914,-20.7188,-42.15,-24.5063,117.2434,-36.5423,9.8922,43.82106655,-111.7874284,0
0.248202,0.0169,0.6741,0.827,-0.0465,-0.0569,-0.2575,0.149,0.2978,-0.2048,847.7914,-20.6625,-42.5438,-24.45,117.2434,-36.5423,9.8922,43.82106655,-111.7874284,0
0.249541,0.0169,0.6741,0.827,-0.0465,-0.0569,-0.2575,0.1502,0.1061,-0.1061,847.7914,-20.6625,-42.5438,-24.45,117.2434,-36.5423,9.8922,43.82106655,-111.7874284,0
0.258856,0.0169,0.6741,0.827,-0.0465,-0.0569,-0.2575,0.1502,0.1061,-0.1061,847.7914,-20.6625,-42.5438,-24.45,117.2434,-36.5423,9.8922,43.82106655,-111.7874284,0
0.259836,0.0169,0.6741,0.827,-0.0465,-0.0569,-0.2575,0.1502,0.1061,-0.1061,847.7914,-20.6625,-42.5438,-24.45,115.6337,-37.8746,9.264,43.82106655,-111.7874284,0
0.26068,0.0169,0.6741,0.827,-0.0465,-0.0569,-0.2575,0.1502,0.1061,-0.1061,847.7812,-20.6625,-42.5438,-24.45,115.6337,-37.8746,9.264,43.82106655,-111.7874284,0
0.28345,0.0505,0.6555,0.8141,-0.0465,-0.0569,-0.2575,0.1502,0.1061,-0.1061,847.7812,-20.6625,-42.5438,-24.45,115.6337,-37.8746,9.264,43.82106655,-111.7874284,0
0.284662,0.072,0.6492,0.7518,-0.0465,-0.0569,-0.2575,0.1502,0.1061,-0.1061,847.7812,-20.6625,-42.5438,-24.45,115.6337,-37.8746,9.264,43.82106655,-111.7874284,0
0.285476,0.0729,0.6474,0.7477,-0.0465,-0.0569,-0.2575,0.1502,0.1061,-0.1061,847.7812,-20.6625,-42.5438,-24.45,115.6337,-37.8746,9.264,43.82106655,-111.7874284,0
0.286227,0.0819,0.6381,0.7541,-0.0465,-0.0569,-0.2575,0.1502,0.1061,-0.1061,847.7812,-20.6625,-42.5438,-24.45,115.6337,-37.8746,9.264,43.82106655,-111.7874284,0
0.301206,0.0819,0.6381,0.7541,-0.0465,-0.0569,-0.2575,0.1502,0.1061,-0.1061,847.7741,-20.6625,-42.5438,-24.45,115.6337,-37.8746,9.264,43.82106655,-111.7874284,0
0.307063,0.0819,0.6381,0.7541,-0.0465,-0.0569,-0.2575,0.1502,0.1061,-0.1061,847.7741,-20.2313,-42.75,-24.2438,115.6337,-37.8746,9.264,43.82106655,-111.7874284,0
0.317875,0.0819,0.6381,0.7541,-0.0465,-0.0569,-0.2575,0.1647,0.2084,-0.0182,847.7741,-20.2313,-42.75,-24.2438,115.6337,-37.8746,9.264,43.82106655,-111.7874284,0
0.329661,0.0819,0.6381,0.7541,-0.4244,-0.0563,-0.2976,0.1647,0.2084,-0.0182,847.7741,-20.2313,-42.75,-24.2438,115.6337,-37.8746,9.264,43.82106655,-111.7874284,0
0.340925,0.0819,0.6381,0.7541,-0.4244,-0.0563,-0.2976,0.1647,0.2084,-0.0182,847.7673,-20.2313,-42.75,-24.2438,115.6337,-37.8746,9.264,43.82106655,-111.7874284,0
0.34972,0.0628,0.6467,0.7025,-0.4244,-0.0563,-0.2976,0.1647,0.2084,-0.0182,847.7673,-20.2313,-42.75,-24.2438,115.6337,-37.8746,9.264,43.82106655,-111.7874284,0
0.350562,0.0546,0.6527,0.6936,-0.4244,-0.0563,-0.2976,0.1647,0.2084,-0.0182,847.7673,-20.2313,-42.75,-24.2438,115.6337,-37.8746,9.264,43.82106655,-111.7874284,0
0.35132,0.0591,0.6588,0.7091,-0.4244,-0.0563,-0.2976,0.1647,0.2084,-0.0182,847.7673,-20.2313,-42.75,-24.2438,115.6337,-37.8746,9.264,43.82106655,-111.7874284,0
0.368006,0.0591,0.6588,0.7091,-0.4244,-0.0563,-0.2976,0.1647,0.2084,-0.0182,847.7673,-20.2313,-42.75,-24.2438,115.6698,-38.8806,7.1816,43.82106655,-111.7874284,0
0.369192,0.0591,0.6588,0.7091,-0.4244,-0.0563,-0.2976,0.1647,0.2084,-0.0182,847.7673,-20.1188,-42.9938,-24.0375,115.6698,-38.8806,7.1816,43.82106655,-111.7874284,0
0.380679,0.0591,0.6588,0.7091,-0.4244,-0.0563,-0.2976,0.1647,0.2084,-0.0182,847.7673,-20.1188,-42.9938,-24.0375,115.6698,-38.8806,7.1816,43.82106655,-111.7874284,0
0.388168,0.0591,0.6588,0.7091,-0.4244,-0.0563,-0.2976,-0.0914,0.138,0.0163,847.7673,-20.1188,-42.9938,-24.0375,115.6698,-38.8806,7.1816,43.82106655,-111.7874284,0
0.397585,0.0591,0.6588,0.7091,-0.2081,-0.053,-0.7462,-0.0914,0.138,0.0163,847.7673,-20.1188,-42.9938,-24.0375,115.6698,-38.8806,7.1816,43.82106655,-111.7874284,0
0.417095,0.0818,0.6541,0.7562,-0.2081,-0.053,-0.7462,-0.0914,0.138,0.0163,847.7673,-20.1188,-42.9938,-24.0375,115.6698,-38.8806,7.1816,43.82106655,-111.7874284,0
0.418053,0.0901,0.6389,0.7916,-0.2081,-0.053,-0.7462,-0.0914,0.138,0.0163,847.7673,-20.1188,-42.9938,-24.0375,115.6698,-38.8806,7.1816,43.82106655,-111.7874284,0
0.418865,0.0906,0.6437,0.7804,-0.2081,-0.053,-0.7462,-0.0914,0.138,0.0163,847.7673,-20.1188,-42.9938,-24.0375,115.6698,-38.8806,7.1816,43.82106655,-111.7874284,0
0.41965,0.0761,0.6462,0.7733,-0.2081,-0.053,-0.7462,-0.0914,0.138,0.0163,847.7673,-20.1188,-42.9938,-24.0375,115.6698,-38.8806,7.1816,43.82106655,-111.7874284,0
0.422236,0.0761,0.6462,0.7733,-0.2081,-0.053,-0.7462,-0.0914,0.138,0.0163,847.7678,-20.1188,-42.9938,-24.0375,115.6698,-38.8806,7.1816,43.82106655,-111.7874284,0
0.428342,0.0761,0.6462,0.7733,-0.2081,-0.053,-0.7462,-0.0914,0.138,0.0163,847.7678,-20.1188,-42.9938,-24.0375,114.8395,-39.3811,6.1973,43.82106655,-111.7874284,0
0.429203,0.0761,0.6462,0.7733,-0.2081,-0.053,-0.7462,-0.0914,0.138,0.0163,847.7678,-19.8,-43.05,-23.8875,114.8395,-39.3811,6.1973,43.82106655,-111.7874284,0
0.457328,0.0761,0.6462,0.7733,-0.2081,-0.053,-0.7462,0.0354,0.2447,-0.1709,847.7678,-19.8,-43.05,-23.8875,114.8395,-39.3811,6.1973,43.82106655,-111.7874284,0
0.461874,0.0761,0.6462,0.7733,-0.2081,-0.053,-0.7462,0.0354,0.2447,-0.1709,847.7739,-19.8,-43.05,-23.8875,114.8395,-39.3811,6.1973,43.82106655,-111.7874284,0
0.466958,0.0761,0.6462,0.7733,0.1598,-0.0653,-0.1709,0.0354,0.2447,-0.1709,847.7739,-19.8,-43.05,-23.8875,114.8395,-39.3811,6.1973,43.82106655,-111.7874284,0
0.483351,0.0596,0.654,0.7693,0.1598,-0.0653,-0.1709,0.0354,0.2447,-0.1709,847.7739,-19.8,-43.05,-23.8875,114.8395,-39.3811,6.1973,43.82106655,-111.7874284,0
0.484315,0.0333,0.6694,0.7758,0.1598,-0.0653,-0.1709,0.0354,0.2447,-0.1709,847.7739,-19.8,-43.05,-23.8875,114.8395,-39.3811,6.1973,43.82106655,-111.7874284,0
0.485276,0.0107,0.6829,0.7887,0.1598,-0.0653,-0.1709,0.0354,0.2447,-0.1709,847.7739,-19.8,-43.05,-23.8875,114.8395,-39.3811,6.1973,43.82106655,-111.7874284,0
0.488244,0.0107,0.6829,0.7887,0.1598,-0.0653,-0.1709,0.0354,0.2447,-0.1709,847.7739,-19.5563,-43.0875,-23.8875,114.8395,-39.3811,6.1973,43.82106655,-111.7874284,0
0.489319,0.0107,0.6829,0.7887,0.1598,-0.0653,-0.1709,0.0354,0.2447,-0.1709,847.7739,-19.5563,-43.0875,-23.8875,116.0873,-39.7081,4.9445,43.82106655,-111.7874284,0
0.502163,0.0107,0.6829,0.7887,0.1598,-0.0653,-0.1709,0.0354,0.2447,-0.1709,847.7851,-19.5563,-43.0875,-23.8875,116.0873,-39.7081,4.9445,43.82106655,-111.7874284,0
0.526113,0.0107,0.6829,0.7887,0.1598,-0.0653,-0.1709,0.1668,0.2043,-0.1882,847.7851,-19.5563,-43.0875,-23.8875,116.0873,-39.7081,4.9445,43.82106655,-111.7874284,0
0.536272,0.0107,0.6829,0.7887,0.0045,-0.0406,-0.0252,0.1668,0.2043,-0.1882,847.7851,-19.5563,-43.0875,-23.8875,116.0873,-39.7081,4.9445,43.82106655,-111.7874284,0
0.541803,0.0107,0.6829,0.7887,0.0045,-0.0406,-0.0252,0.1668,0.2043,-0.1882,847.78,-19.5563,-43.0875,-23.8875,116.0873,-39.7081,4.9445,43.82106655,-111.7874284,0
0.551244,-0.02,0.6914,0.807,0.0045,-0.0406,-0.0252,0.1668,0.2043,-0.1882,847.78,-19.5563,-43.0875,-23.8875,116.0873,-39.7081,4.9445,43.82106655,-111.7874284,0
0.552139,-0.0549,0.7002,0.7646,0.0045,-0.0406,-0.0252,0.1668,0.2043,-0.1882,847.78,-19.5563,-43.0875,-23.8875,116.0873,-39.7081,4.9445,43.82106655,-111.7874284,0
0.553523,-0.0382,0.707,0.7084,0.0045,-0.0406,-0.0252,0.1668,0.2043,-0.1882,847.78,-19.5563,-43.0875,-23.8875,116.0873,-39.7081,4.9445,43.82106655,-111.7874284,0
0.554893,-0.0382,0.707,0.7084,0.0045,-0.0406,-0.0252,0.1668,0.2043,-0.1882,847.78,-19.5563,-43.0875,-23.8875,116.8579,-40.4471,3.6914,43.82106655,-111.7874284,0
