
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,p,Bx,By,Bz,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s),
0.028550,-0.1906,0.9623,-0.0888,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.029389,-0.1906,0.9623,-0.0888,0.0000,0.0000,0.0000,-0.0102,0.0718,-0.0758,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,43.87798333,-111.78010000,0.00000000,
0.037955,-0.2507,0.9631,-0.0734,0.0000,0.0000,0.0000,-0.0102,0.0718,-0.0758,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,43.87798333,-111.78010000,0.00000000,
0.038990,-0.2507,0.9631,-0.0734,0.0000,0.0000,0.0000,0.0100,0.1027,0.0019,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,43.87798333,-111.78010000,0.00000000,
0.039356,-0.2507,0.9631,-0.0734,0.0000,0.0000,0.0000,0.0100,0.1027,0.0019,0.0000,0.0000,0.0000,0.0000,180.7490,-46.8580,5.8240,43.87798333,-111.78010000,0.00000000,
0.039895,-0.2507,0.9631,-0.0734,-1.0140,1.9780,-6.2810,0.0100,0.1027,0.0019,0.0000,0.0000,0.0000,0.0000,180.7490,-46.8580,5.8240,43.87798333,-111.78010000,0.00000000,
0.040376,-0.2507,0.9631,-0.0734,-1.0140,1.9780,-6.2810,0.0100,0.1027,0.0019,0.0000,24.3000,-38.6250,-1.2750,180.7490,-46.8580,5.8240,43.87798333,-111.78010000,0.00000000,
0.052819,-0.2507,0.9631,-0.0734,-1.0140,1.9780,-6.2810,0.0100,0.1027,0.0019,0.0000,24.3000,-38.6250,-1.2750,180.7490,-46.8580,5.8240,43.87798333,-111.78010000,0.00000000,
0.060922,-0.2507,0.9631,-0.0734,-1.0140,1.9780,-6.2810,0.0100,0.1027,0.0019,0.0000,24.5625,-38.9250,-0.3563,180.7490,-46.8580,5.8240,43.87798333,-111.78010000,0.00000000,
0.068411,-0.2881,0.9706,-0.0259,-1.0140,1.9780,-6.2810,0.0100,0.1027,0.0019,0.0000,24.5625,-38.9250,-0.3563,180.7490,-46.8580,5.8240,43.87798333,-111.78010000,0.00000000,
0.069363,-0.2881,0.9706,-0.0259,-1.0140,1.9780,-6.2810,0.0738,0.0314,0.1211,0.0000,24.5625,-38.9250,-0.3563,180.7490,-46.8580,5.8240,43.87798333,-111.78010000,0.00000000,
0.070091,-0.2881,0.9706,-0.0259,-1.0140,1.9780,-6.2810,0.0738,0.0314,0.1211,0.0000,24.5625,-38.9250,-0.3563,182.2310,-46.7000,2.5470,43.87798333,-111.78010000,0.00000000,
0.080745,-0.2881,0.9706,-0.0259,-1.0140,1.9780,-6.2810,0.0738,0.0314,0.1211,0.0000,24.3938,-39.1500,-0.1313,182.2310,-46.7000,2.5470,43.87798333,-111.78010000,0.00000000,
0.083776,-0.2717,0.9906,-0.0196,-1.0140,1.9780,-6.2810,0.0738,0.0314,0.1211,0.0000,24.3938,-39.1500,-0.1313,182.2310,-46.7000,2.5470,43.87798333,-111.78010000,0.00000000,
0.085178,-0.2717,0.9906,-0.0196,-1.0140,1.9780,-6.2810,0.1270,-0.0324,0.2222,0.0000,24.3938,-39.1500,-0.1313,182.2310,-46.7000,2.5470,43.87798333,-111.78010000,0.00000000,
0.086264,-0.2717,0.9906,-0.0196,-1.0140,1.9780,-6.2810,0.1270,-0.0324,0.2222,0.0000,24.3938,-39.1500,-0.1313,183.5180,-48.9670,-0.6790,43.87798333,-111.78010000,0.00000000,
0.087485,-0.2717,0.9906,-0.0196,-0.7550,1.4700,-3.6720,0.1270,-0.0324,0.2222,0.0000,24.3938,-39.1500,-0.1313,183.5180,-48.9670,-0.6790,43.87798333,-111.78010000,0.00000000,
0.088819,-0.2717,0.9906,-0.0196,-0.7550,1.4700,-3.6720,0.1270,-0.0324,0.2222,847.8100,24.3938,-39.1500,-0.1313,183.5180,-48.9670,-0.6790,43.87798333,-111.78010000,0.00000000,
0.098779,-0.2182,0.9867,-0.0433,-0.7550,1.4700,-3.6720,0.1270,-0.0324,0.2222,847.8100,24.3938,-39.1500,-0.1313,183.5180,-48.9670,-0.6790,43.87798333,-111.78010000,0.00000000,
0.100326,-0.2182,0.9867,-0.0433,-0.7550,1.4700,-3.6720,0.1207,-0.0176,0.2296,847.8100,24.3938,-39.1500,-0.1313,183.5180,-48.9670,-0.6790,43.87798333,-111.78010000,0.00000000,
0.101425,-0.2182,0.9867,-0.0433,-0.7550,1.4700,-3.6720,0.1207,-0.0176,0.2296,847.8100,24.3938,-39.1500,-0.1313,184.5160,-51.1720,-3.5490,43.87798333,-111.78010000,0.00000000,
0.102478,-0.2182,0.9867,-0.0433,-0.1840,1.1460,-3.1240,0.1207,-0.0176,0.2296,847.8100,24.3938,-39.1500,-0.1313,184.5160,-51.1720,-3.5490,43.87798333,-111.78010000,0.00000000,
