time,gFx,gFy,gFz,wx,wy,wz,p,Bx,By,Bz,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s)
1e-05,1e-05,-0.01,0.99,0.08,0.11,-0.01,1e-05,7.86,-0.38,-84.17,1e-05,1e-05,-0.01,43.877995,-111.780273,1e-05
0.010000000000000009,1e-05,-0.02,1.0,0.09,0.12,-0.02,1e-05,7.86,-0.38,-84.17,1e-05,1e-05,-0.01,43.877995,-111.780273,1e-05
0.020000000000000004,1e-05,-0.02,1.0,0.1,0.12,-0.02,1e-05,7.86,-0.38,-84.17,1e-05,1e-05,-0.01,43.877995,-111.780273,1e-05
0.03,1e-05,-0.02,1.0,0.11,0.12,-0.02,1e-05,7.86,-0.38,-84.17,1e-05,1e-05,-0.01,43.877995,-111.780273,1e-05
0.04000000000000001,1e-05,-0.02,1.01,0.11,0.12,-0.02,1e-05,7.86,-0.38,-84.17,1e-05,1e-05,-0.01,43.877995,-111.780273,1e-05
0.05000000000000002,-0.01,-0.02,1.01,0.11,0.13,-0.02,1e-05,7.86,-0.38,-84.17,1e-05,1e-05,-0.01,43.877995,-111.780273,1e-05
0.07,-0.01,-0.03,1.02,0.1,0.13,-0.03,1e-05,7.86,-0.38,-84.17,1e-05,1e-05,-0.01,43.877995,-111.780273,1e-05
0.08000000000000002,-0.01,-0.03,1.02,0.11,0.12,-0.03,1e-05,7.86,-0.38,-84.17,1e-05,1e-05,-0.02,43.877995,-111.780273,1e-05
0.09,-0.01,-0.03,1.02,0.11,0.12,-0.03,1e-05,7.86,-0.38,-84.17,1e-05,1e-05,-0.02,43.877995,-111.780273,1e-05
0.1,-0.01,-0.04,1.02,0.12,0.11,-0.02,1e-05,7.86,-2.53,-84.51,1e-05,1e-05,-0.02,43.877995,-111.780273,1e-05
0.12,-0.01,-0.04,1.02,0.12,0.1,-0.02,1e-05,7.86,-2.53,-84.51,1e-05,1e-05,-0.02,43.877995,-111.780273,1e-05
0.13,-0.01,-0.05,1.01,0.12,0.09,-0.02,1e-05,7.86,-2.53,-84.51,1e-05,1e-05,-0.02,43.877995,-111.780273,1e-05
0.15,-0.01,-0.06,1.01,0.13,0.07,-0.03,1e-05,7.86,-2.53,-84.51,1e-05,1e-05,-0.02,43.877995,-111.780273,1e-05
0.16,-0.01,-0.06,1.01,0.13,0.08,-0.03,1e-05,7.86,-2.53,-84.51,1e-05,1e-05,-0.02,43.877995,-111.780273,1e-05
0.17,-0.01,-0.06,1.01,0.13,0.08,-0.04,1e-05,7.86,-2.53,-84.51,-0.01,-0.01,-0.02,43.877995,-111.780273,1e-05
0.18000000000000002,1e-05,-0.06,1.01,0.13,0.09,-0.04,1e-05,7.86,-2.53,-84.51,-0.01,-0.01,-0.02,43.877995,-111.780273,1e-05
0.19000000000000003,1e-05,-0.06,1.0,0.13,0.09,-0.03,1e-05,7.86,-2.53,-84.51,-0.01,-0.01,-0.02,43.877995,-111.780273,1e-05
0.19999999999999998,1e-05,-0.07,1.0,0.14,0.09,-0.02,1e-05,7.86,-2.53,-84.51,-0.01,-0.01,-0.02,43.877995,-111.780273,1e-05
0.22,0.01,-0.08,1.0,0.15,0.1,-0.02,1e-05,7.86,-2.53,-84.51,-0.01,-0.01,-0.03,43.877995,-111.780273,1e-05
0.23,0.01,-0.08,1.01,0.16,0.11,-0.02,1e-05,8.22,-2.17,-82.78,-0.01,-0.01,-0.03,43.877995,-111.780273,1e-05
0.24000000000000002,0.02,-0.08,1.02,0.17,0.13,-0.01,1e-05,8.22,-2.17,-82.78,-0.01,-0.01,-0.03,43.877995,-111.780273,1e-05
0.25,0.02,-0.08,1.03,0.19,0.14,0.01,1e-05,8.22,-2.17,-82.78,-0.01,-0.01,-0.03,43.877995,-111.780273,1e-05
0.26,0.02,-0.08,1.04,0.21,0.15,0.04,1e-05,8.22,-2.17,-82.78,-0.01,-0.01,-0.03,43.877995,-111.780273,1e-05
0.28,0.02,-0.1,1.05,0.22,0.15,0.06,1e-05,8.22,-2.17,-82.78,1e-05,1e-05,-0.03,43.877995,-111.780273,1e-05
0.29000000000000004,0.01,-0.13,1.06,0.22,0.15,0.08,1e-05,8.22,-2.17,-82.78,1e-05,1e-05,-0.04,43.877995,-111.780273,1e-05
0.30000000000000004,1e-05,-0.14,1.07,0.21,0.14,0.08,1e-05,8.22,-2.17,-82.78,1e-05,1e-05,-0.04,43.877995,-111.780273,1e-05
0.31000000000000005,1e-05,-0.15,1.08,0.19,0.13,0.07,1e-05,8.22,-2.17,-82.78,1e-05,1e-05,-0.04,43.877995,-111.780273,1e-05
0.32999999999999996,1e-05,-0.15,1.09,0.16,0.12,0.06,1e-05,8.22,-2.17,-82.78,1e-05,1e-05,-0.04,43.877995,-111.780273,1e-05
0.33999999999999997,-0.01,-0.15,1.1,0.12,0.13,0.06,1e-05,8.22,-2.17,-82.78,1e-05,1e-05,-0.04,43.877995,-111.780273,1e-05
0.35,-0.02,-0.13,1.12,0.06,0.17,0.07,1e-05,8.22,-2.17,-82.78,1e-05,1e-05,-0.04,43.877995,-111.780273,1e-05
0.36,-0.04,-0.11,1.15,-0.04,0.23,0.11,1e-05,8.22,-2.17,-82.78,1e-05,1e-05,-0.04,43.877995,-111.780273,1e-05
0.38,-0.06,-0.1,1.16,-0.15,0.28,0.14,1e-05,8.22,-2.17,-82.78,1e-05,1e-05,-0.03,43.877995,-111.780273,1e-05
0.39,-0.08,-0.11,1.17,-0.24,0.3,0.17,1e-05,8.22,-2.17,-82.78,0.01,0.01,-0.03,43.877995,-111.780273,1e-05
0.4,-0.1,-0.12,1.17,-0.31,0.3,0.19,1e-05,8.22,-2.17,-82.78,0.01,0.01,-0.03,43.877995,-111.780273,1e-05
0.41000000000000003,-0.11,-0.13,1.16,-0.36,0.28,0.19,1e-05,8.22,-2.17,-82.78,0.01,0.01,-0.02,43.877995,-111.780273,1e-05
0.42000000000000004,-0.12,-0.14,1.13,-0.37,0.23,0.19,1e-05,8.22,-2.17,-82.78,0.01,0.01,-0.02,43.877995,-111.780273,1e-05
0.44000000000000006,-0.1,-0.15,1.1,-0.33,0.14,0.18,1e-05,8.22,-2.17,-82.78,0.02,0.02,-0.01,43.877995,-111.780273,1e-05
