"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.561666664E-3,-5.274431763E0,7.986492004E0,-6.878196716E-1
1.158466667E-2,-5.381010132E0,7.846682739E0,-4.439767456E-1
2.160766667E-2,-5.409450989E0,7.894134064E0,-1.839674377E-1
3.163066666E-2,-4.899311829E0,7.466323700E0,-1.778302002E-1
4.165366667E-2,-4.684957581E0,7.147486725E0,-6.376739502E-1
5.167766667E-2,-4.266727295E0,7.285499725E0,-6.740483093E-1
6.170066667E-2,-3.904630280E0,7.381300507E0,-5.206173706E-1
7.172366667E-2,-3.500171356E0,7.385641479E0,-9.148974609E-1
8.174666667E-2,-3.097359009E0,7.321574707E0,-1.455872498E0
9.176966667E-2,-3.001408539E0,7.341932373E0,-1.784888306E0
1.017936667E-1,-3.067121887E0,7.443720703E0,-1.826501770E0
1.118166667E-1,-3.425027618E0,7.607180786E0,-1.820963287E0
1.218396667E-1,-3.824846191E0,7.631879425E0,-1.821562042E0
1.318626667E-1,-4.007616119E0,7.691156158E0,-1.927691345E0
1.418856667E-1,-4.087699585E0,7.776927795E0,-1.644031219E0
1.519096667E-1,-3.949836273E0,7.854466553E0,-9.981243896E-1
1.619326667E-1,-3.647914124E0,7.985893250E0,-5.833369446E-1
1.719556667E-1,-4.161196747E0,8.253237305E0,-8.442443848E-1
1.819786667E-1,-4.321812744E0,8.271349640E0,-8.900491333E-1
1.920016667E-1,-3.559897156E0,8.217312012E0,-1.835183716E-1
2.020246667E-1,-3.576961670E0,8.321645050E0,-3.218307495E-2
2.120486667E-1,-3.702550507E0,8.345894623E0,-3.665876770E-1
2.220716667E-1,-3.553909607E0,8.355325012E0,-7.975415039E-1
2.320946667E-1,-3.614982605E0,8.466693420E0,-1.057700500E0
2.421176667E-1,-3.687731323E0,8.515941010E0,-1.059945831E0
2.521406667E-1,-3.752995605E0,8.657097473E0,-1.062191162E0
2.621646667E-1,-3.773203583E0,8.811276855E0,-1.192570038E0
2.721876667E-1,-3.724854126E0,8.923693085E0,-1.322649536E0
2.822106667E-1,-3.655398560E0,9.079818420E0,-1.441053314E0
2.922336667E-1,-3.448528748E0,9.284143524E0,-1.478176117E0
3.022566667E-1,-3.235970764E0,9.600585480E0,-1.317111053E0
3.122806667E-1,-3.246149597E0,9.835896149E0,-1.261277161E0
3.223036667E-1,-3.401077423E0,1.007809250E1,-1.348246307E0
3.323266667E-1,-3.540737000E0,1.017539017E1,-1.296004944E0
3.423496667E-1,-3.751199341E0,1.031355286E1,-1.178648987E0
3.523726667E-1,-3.963158569E0,1.054586975E1,-1.086141357E0
3.623966667E-1,-4.025429077E0,1.081051941E1,-9.864486694E-1
3.724196667E-1,-3.704945526E0,1.100137253E1,-9.882449341E-1
3.824425833E-1,-3.385210419E0,1.119357285E1,-1.253044281E0
3.924655833E-1,-3.121159515E0,1.133802246E1,-1.537901917E0
4.024885833E-1,-2.958447876E0,1.144534927E1,-1.650617523E0
4.125115833E-1,-2.946772156E0,1.159054733E1,-1.626218262E0
4.225355833E-1,-2.930156708E0,1.172871002E1,-1.633103943E0
4.325585833E-1,-2.860401764E0,1.170670578E1,-1.471739502E0
4.425815833E-1,-2.649640045E0,1.157093811E1,-1.140927429E0
4.526045833E-1,-2.402653656E0,1.129281647E1,-8.267308044E-1
4.626275833E-1,-2.220482483E0,1.115091156E1,-7.442523193E-1
4.726515833E-1,-2.129172363E0,1.125344833E1,-8.583151245E-1
4.826745833E-1,-2.045945435E0,1.118234619E1,-1.075214081E0
4.926975833E-1,-1.812281342E0,1.051997360E1,-1.174607391E0
5.027205833E-1,-1.688788147E0,9.943222961E0,-1.090182953E0
5.127435833E-1,-1.369053040E0,9.252110138E0,-6.285429382E-1
5.227675833E-1,-1.674418030E0,9.047036591E0,-1.568737793E-1
5.327905833E-1,-2.662064209E0,8.460855560E0,2.318678284E-1
5.428135833E-1,-4.059408417E0,7.835007019E0,6.173162842E-1
5.528365833E-1,-5.097948761E0,7.823630676E0,1.128952332E0
5.628595833E-1,-5.430557098E0,8.067623291E0,8.975335693E-1
5.728825833E-1,-5.151687012E0,8.216713257E0,3.957769775E-1
5.829065833E-1,-4.680017853E0,8.263416138E0,3.014730835E-1
5.929295833E-1,-4.090843048E0,8.093669128E0,3.833528137E-1
6.029525833E-1,-3.537294159E0,7.933352509E0,4.782554626E-1
6.129755833E-1,-3.124752045E0,7.927963715E0,2.745291138E-1
6.229985833E-1,-2.779270477E0,7.919431458E0,-4.212240601E-1
6.330225833E-1,-2.452350311E0,7.847281494E0,-1.157542877E0
6.430455833E-1,-2.165995789E0,8.012537842E0,-1.771416321E0
