"Time (s)","X (hPa)"
-5.522400833E-1,8.452169037E2
4.517749167E-1,8.452165222E2
1.455748917E0,8.452169037E2
2.459728917E0,8.452162170E2
3.463679917E0,8.452111053E2
3.816907917E0,8.451887512E2
4.887771917E0,8.451875305E2
5.958659917E0,8.451774597E2
7.029512917E0,8.451654053E2
8.100382917E0,8.451555634E2
9.171246917E0,8.451544189E2
1.024211692E1,8.451527405E2
1.131299792E1,8.451527405E2
1.238390292E1,8.451597595E2
1.345481492E1,8.451699066E2
1.452568792E1,8.451747131E2
1.559653892E1,8.451753998E2
1.666746192E1,8.451770782E2
1.773836392E1,8.451770782E2
1.880925892E1,8.451723480E2
1.988014792E1,8.451692963E2
2.095101492E1,8.451692200E2
2.202187792E1,8.451692200E2
2.309278592E1,8.451646423E2
2.416366392E1,8.451646423E2
2.523457692E1,8.451673126E2
2.630546792E1,8.451725769E2
2.737637992E1,8.451753998E2
2.844727592E1,8.451775360E2
2.951818792E1,8.451804352E2
3.058905892E1,8.451884460E2
3.165994292E1,8.452047729E2
3.273084292E1,8.452215576E2
3.380182392E1,8.452352905E2
3.487274592E1,8.452452850E2
3.594365992E1,8.452452850E2
3.701452892E1,8.452426910E2
3.808545192E1,8.452383423E2
3.915638292E1,8.452316284E2
4.022733192E1,8.452307129E2
4.129827392E1,8.452276611E2
4.236915792E1,8.452265167E2
4.344006792E1,8.452265167E2
4.451100992E1,8.452272797E2
4.558192992E1,8.452304077E2
4.665278792E1,8.452325439E2
4.772367592E1,8.452374268E2
4.879456892E1,8.452410126E2
4.986549492E1,8.452422333E2
5.093641092E1,8.452446747E2
5.200732392E1,8.452446747E2
5.307814292E1,8.452402496E2
5.414901592E1,8.452305603E2
5.521986192E1,8.452187347E2
5.629077292E1,8.452056885E2
5.736167092E1,8.451906586E2
5.843254992E1,8.451868439E2
5.950350392E1,8.451868439E2
6.057440292E1,8.451962280E2
6.164536292E1,8.452147675E2
6.271635392E1,8.452222443E2
6.378735992E1,8.452222443E2
6.485832092E1,8.452191162E2
6.592923692E1,8.452107239E2
6.700015792E1,8.452107239E2
6.807104792E1,8.452128601E2
6.914193392E1,8.452253723E2
7.021282592E1,8.452253723E2
7.128372992E1,8.452222443E2
7.235467792E1,8.452122498E2
7.342562792E1,8.452028656E2
7.449662192E1,8.452002716E2
7.556756992E1,8.452002716E2
7.663852092E1,8.452020264E2
7.770954192E1,8.452045441E2
7.878054592E1,8.452045441E2
7.985152492E1,8.451947021E2
8.092247392E1,8.451940918E2
8.199345192E1,8.451921082E2
8.306444592E1,8.451909637E2
8.413545292E1,8.451881409E2
8.520648192E1,8.451859283E2
8.627747792E1,8.451840210E2
8.734846592E1,8.451840210E2
8.841943292E1,8.451826477E2
8.949038492E1,8.451831055E2
9.056135992E1,8.451831055E2
9.163234392E1,8.451847076E2
9.270332492E1,8.451847076E2
9.377429592E1,8.451785278E2
9.484524192E1,8.451738739E2
9.591620492E1,8.451738739E2
9.698717992E1,8.451802063E2
9.805814292E1,8.451876068E2
9.912914092E1,8.451953888E2
1.002001109E2,8.452066040E2
1.012711099E2,8.452120209E2
1.023421289E2,8.452120209E2
1.034131609E2,8.452120209E2
1.044842179E2,8.452120209E2
1.055552419E2,8.452120209E2
1.066262489E2,8.451900482E2
1.076972969E2,8.451900482E2
1.087683359E2,8.451893616E2
