"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.659566667E-2,-2.803546786E-1,3.201212287E-1,2.236029953E-1
2.661966667E-2,-2.530254126E-1,3.347715139E-1,2.212429494E-1
3.664266667E-2,-3.058031201E-1,2.905843556E-1,2.757634223E-1
4.666566667E-2,-3.622832298E-1,2.685499191E-1,3.072701097E-1
5.668866666E-2,-3.699049354E-1,2.745348513E-1,3.112981319E-1
6.671166667E-2,-3.891631663E-1,2.774141133E-1,2.869599462E-1
7.673566667E-2,-4.484853446E-1,2.630700469E-1,2.543074787E-1
8.675866666E-2,-5.038199425E-1,2.400024682E-1,2.172477096E-1
9.678166667E-2,-5.485125780E-1,2.429092973E-1,1.796340197E-1
1.068046667E-1,-5.667500496E-1,2.090034634E-1,1.713437885E-1
1.168276667E-1,-5.766892433E-1,1.000524908E-1,1.727960110E-1
1.268516667E-1,-6.047913432E-1,-2.779897302E-2,1.873916090E-1
1.368746667E-1,-5.939775705E-1,-1.330244541E-1,2.037873566E-1
1.468976667E-1,-5.277836323E-1,-1.876422912E-1,1.961076558E-1
1.569206667E-1,-4.449784458E-1,-1.747842729E-1,1.632154882E-1
1.669436667E-1,-4.319149256E-1,-4.195820168E-2,2.305846214E-1
1.769676667E-1,-3.803001940E-1,1.143338624E-2,2.221019119E-1
1.869906667E-1,-3.147399127E-1,-1.011071727E-3,1.473550051E-1
1.970136667E-1,-2.116590440E-1,2.309559472E-2,1.234677881E-1
2.070366667E-1,-1.515682191E-1,6.762608886E-2,1.127850115E-1
2.170596667E-1,-1.467135400E-1,9.757493436E-2,9.727263451E-2
2.270826667E-1,-1.607410163E-1,1.020661741E-1,1.064562872E-1
2.371066667E-1,-1.695928276E-1,8.971016854E-2,1.091218442E-1
2.471296667E-1,-1.752130985E-1,7.872028649E-2,1.233194098E-1
2.571526667E-1,-1.847189814E-1,8.421918005E-2,1.544602811E-1
2.671756667E-1,-1.912624240E-1,6.146156788E-2,1.731715649E-1
2.771986667E-1,-1.900940984E-1,2.269845828E-2,1.799128205E-1
2.872226667E-1,-1.707256138E-1,-1.669126563E-3,1.575363576E-1
2.972456667E-1,-1.534073353E-1,-4.612847045E-2,1.282658130E-1
3.072686667E-1,-1.315178722E-1,3.983069956E-2,9.279228747E-2
3.172916667E-1,-7.794093341E-2,1.774767190E-1,8.284325153E-2
3.273146667E-1,-4.123118147E-2,3.346623480E-1,6.915269792E-2
3.373386667E-1,1.481690630E-2,4.341244698E-1,8.034809679E-2
3.473616667E-1,6.095343456E-2,5.233751535E-1,1.182540655E-1
3.573846667E-1,1.356652230E-1,6.080521941E-1,1.734946817E-1
3.674076667E-1,2.154845595E-1,7.017281651E-1,1.980434954E-1
3.774305833E-1,2.676566839E-1,8.181945682E-1,2.056835592E-1
3.874535833E-1,2.786336839E-1,9.353495240E-1,1.824348271E-1
3.974775833E-1,2.639887035E-1,1.033751249E0,1.404500902E-1
4.075005833E-1,2.359866351E-1,1.089166403E0,1.011820436E-1
4.175235833E-1,1.773478240E-1,1.134093761E0,6.044846401E-2
4.275465833E-1,1.149271876E-1,1.210935473E0,1.634128764E-2
4.375695833E-1,8.831422031E-2,1.332543612E0,-4.176196083E-2
4.475935833E-1,1.087511256E-1,1.450477362E0,-1.159911230E-1
4.576165833E-1,1.420914978E-1,1.531726599E0,-2.058009058E-1
4.676395833E-1,1.549355239E-1,1.531975985E0,-2.772839665E-1
4.776625833E-1,1.348683387E-1,1.495211601E0,-3.626614511E-1
4.876855833E-1,9.462065995E-2,1.476067901E0,-4.722028971E-1
4.977095833E-1,3.861757740E-2,1.450069785E0,-6.009683013E-1
5.077325833E-1,5.237499997E-2,1.480680585E0,-7.812698483E-1
5.177555833E-1,8.614414930E-2,1.533616543E0,-8.928371072E-1
5.277785833E-1,1.788761467E-1,1.658302903E0,-9.793199301E-1
5.378015833E-1,3.096946180E-1,1.671561718E0,-9.909438491E-1
5.478255833E-1,4.990702569E-1,1.573187709E0,-9.136289358E-1
5.578485833E-1,6.529183984E-1,1.611446142E0,-7.713863254E-1
5.678715833E-1,7.524035573E-1,1.802425742E0,-6.396312714E-1
5.778945833E-1,8.296906352E-1,2.011655569E0,-5.386734605E-1
5.879175833E-1,9.353961945E-1,2.189176321E0,-4.805467129E-1
5.979405833E-1,1.083698869E0,2.382734060E0,-4.466073811E-1
6.079645833E-1,1.242927194E0,2.622706890E0,-4.301984608E-1
6.179875833E-1,1.354113460E0,2.801625490E0,-4.576236904E-1
6.280105833E-1,1.357374787E0,2.786001682E0,-5.440634489E-1
6.380335833E-1,1.252728343E0,2.396421909E0,-7.089498639E-1
6.480565833E-1,1.097211480E0,1.925224543E0,-8.268954158E-1
6.580805833E-1,9.403200746E-1,1.639294624E0,-8.506010175E-1
6.681035833E-1,7.856506109E-1,1.373212099E0,-8.297117352E-1
6.781265833E-1,6.690059900E-1,1.270004272E0,-7.774730325E-1
6.881495833E-1,5.881643891E-1,1.216342449E0,-7.173826694E-1
6.981725833E-1,4.909576774E-1,1.234155536E0,-6.804208755E-1
7.081965833E-1,4.144289494E-1,1.267747998E0,-6.346033812E-1
7.182195833E-1,3.505876660E-1,1.304734588E0,-6.115809083E-1
7.282425833E-1,3.191212714E-1,1.397384048E0,-6.130880117E-1
7.382655833E-1,3.249594569E-1,1.423925638E0,-6.033456326E-1
7.482885833E-1,3.083122373E-1,1.444738507E0,-5.782932639E-1
7.583125833E-1,2.900086045E-1,1.467002273E0,-5.432140827E-1
7.683355833E-1,2.768258750E-1,1.532702446E0,-5.483303070E-1
7.783585833E-1,3.036151528E-1,1.580521584E0,-6.092256308E-1
7.883815833E-1,2.901103199E-1,1.713226795E0,-6.949734688E-1
7.984045833E-1,2.416535765E-1,1.851739645E0,-7.635993958E-1
8.084275833E-1,2.077099830E-1,1.915470123E0,-8.243647218E-1
8.184515833E-1,1.853144020E-1,1.897958279E0,-8.693830371E-1
8.284745833E-1,2.040865719E-1,1.829047918E0,-9.098120332E-1
8.384975833E-1,2.603114843E-1,1.772771358E0,-9.717944264E-1
8.485205833E-1,2.762708664E-1,1.745269537E0,-1.019842863E0
8.585435833E-1,2.173265964E-1,1.744932055E0,-1.055816054E0
8.685675833E-1,1.304409057E-1,1.665071607E0,-1.093013167E0
8.785905833E-1,2.818644047E-2,1.543128729E0,-1.137474179E0
8.886135833E-1,-6.717229635E-2,1.439366460E0,-1.154598594E0
8.986365833E-1,-1.326402426E-1,1.304453373E0,-1.099330187E0
9.086595833E-1,-1.749872565E-1,1.149086952E0,-9.874431491E-1
9.186835833E-1,-1.948672086E-1,1.062763572E0,-8.323936462E-1
9.287065833E-1,-1.778763980E-1,1.014966011E0,-6.778935194E-1
9.387295833E-1,-1.017872244E-1,9.806293249E-1,-5.659373999E-1
9.487525833E-1,1.893522032E-2,9.053556323E-1,-4.555141926E-1
9.587755833E-1,1.195039079E-1,8.183898330E-1,-3.701013029E-1
9.687985833E-1,1.455296427E-1,7.988201380E-1,-3.085767329E-1
9.788225833E-1,1.612167209E-1,8.772901893E-1,-2.813158333E-1
9.888455833E-1,2.171461135E-1,1.092906475E0,-2.516309917E-1
9.988685833E-1,2.829336226E-1,1.284577727E0,-2.376019955E-1
1.008891583E0,2.800227106E-1,1.291630030E0,-2.750588357E-1
1.018914583E0,2.316423655E-1,1.104735494E0,-3.152283728E-1
1.028938583E0,9.782789648E-2,9.018964767E-1,-3.417650461E-1
1.038961583E0,-6.804043055E-2,8.547252417E-1,-3.036658764E-1
1.048984583E0,-2.225433737E-1,7.489760518E-1,-2.657808363E-1
1.059007583E0,-2.920303345E-1,6.906347275E-1,-3.126860261E-1
1.069030583E0,-2.233918756E-1,7.206116319E-1,-4.292650521E-1
1.079054583E0,-1.243297309E-1,8.409662843E-1,-4.607891440E-1
1.089077583E0,-5.933128670E-2,1.004298329E0,-4.617225528E-1
1.099100583E0,-1.945604198E-2,1.204728365E0,-3.876030445E-1
1.109123583E0,-1.659800857E-2,1.306138277E0,-3.664469719E-1
1.119146583E0,-3.714403138E-2,1.415567994E0,-4.097281396E-1
1.129170583E0,-5.525512621E-2,1.476900935E0,-4.231896996E-1
1.139193583E0,-1.486841440E-1,1.512086868E0,-5.352243781E-1
1.149216583E0,-2.227161676E-1,1.480639696E0,-6.681702137E-1
1.159239583E0,-2.633610666E-1,1.445182085E0,-7.575738430E-1
1.169262583E0,-2.747252882E-1,1.311016679E0,-9.213998914E-1
1.179285583E0,-2.434227616E-1,1.247236609E0,-9.264745712E-1
1.189309583E0,-1.996106356E-1,1.127828002E0,-9.581636190E-1
1.199332583E0,-9.492044896E-2,9.702460170E-1,-9.826257825E-1
1.209355583E0,6.743910164E-2,8.393388987E-1,-1.030919194E0
1.219378583E0,1.989968717E-1,8.272199035E-1,-9.785637259E-1
1.229401583E0,3.212050796E-1,8.000866771E-1,-1.013196588E0
1.239425583E0,3.659826815E-1,7.766526937E-1,-1.117725849E0
1.249448583E0,3.155773282E-1,7.488169074E-1,-1.219599366E0
1.259471583E0,1.263387054E-1,6.461802721E-1,-1.349770427E0
1.269494583E0,-6.470732689E-1,9.742272496E-1,-2.060788631E0
1.279517583E0,-9.845889807E-1,1.160174131E0,-2.381822824E0
1.289541583E0,-1.080828667E0,1.332301974E0,-2.333475590E0
1.299564583E0,-9.929421544E-1,1.386051655E0,-2.056170702E0
1.309587583E0,-7.690203786E-1,1.283342361E0,-1.813739061E0
1.319610583E0,-5.092955828E-1,1.256538987E0,-1.692197442E0
1.329633583E0,-3.336434960E-1,1.310456753E0,-1.688285112E0
1.339657583E0,-2.602715492E-1,1.229251385E0,-1.685962319E0
1.349680583E0,-2.347047180E-1,1.056070805E0,-1.654311419E0
1.359703583E0,-1.725028604E-1,8.720291257E-1,-1.607319117E0
1.369726583E0,-4.815300554E-2,7.550335526E-1,-1.598828435E0
1.379749708E0,3.668385744E-2,6.951387525E-1,-1.616393924E0
1.389772708E0,8.304715902E-2,6.274949312E-1,-1.580051303E0
1.399796708E0,1.165342778E-1,6.051022410E-1,-1.457770944E0
1.409819708E0,9.473997355E-2,7.704191208E-1,-1.274976611E0
1.419842708E0,4.146209732E-2,8.587220907E-1,-1.118610978E0
1.429865708E0,-4.245236889E-2,9.017436504E-1,-1.054555416E0
1.439888708E0,-1.121086776E-1,8.929077983E-1,-1.067881346E0
1.449912708E0,-1.950090379E-1,9.315990806E-1,-1.131232977E0
1.459935708E0,-2.770210803E-1,9.266464114E-1,-1.214724422E0
1.469958708E0,-3.564188480E-1,7.392281294E-1,-1.267605305E0
1.479981708E0,-4.862996042E-1,6.279096007E-1,-1.300570965E0
1.490004708E0,-6.145455837E-1,5.905864835E-1,-1.328235388E0
1.500028708E0,-7.396976352E-1,5.784201026E-1,-1.295190930E0
1.510051708E0,-9.364600182E-1,7.493892908E-1,-1.310991526E0
1.520074708E0,-1.150397301E0,6.093011498E-1,-1.672974825E0
1.530097708E0,-1.467565060E0,7.710777521E-1,-1.905869603E0
1.540120708E0,-1.728981018E0,1.126832724E0,-1.899092674E0
1.550144708E0,-1.786218047E0,1.472234249E0,-1.840761900E0
1.560167708E0,-1.606626391E0,1.653094888E0,-1.872276306E0
1.570190708E0,-1.229081750E0,1.562170148E0,-1.894423008E0
1.580213708E0,-7.837898731E-1,1.524348259E0,-1.853923798E0
1.590236708E0,-3.294893503E-1,1.460336328E0,-1.700449347E0
1.600260708E0,6.581856310E-2,1.400755882E0,-1.448165894E0
1.610283708E0,4.679971337E-1,1.165539980E0,-1.120671272E0
1.620306708E0,8.080985546E-1,9.632819295E-1,-7.753754258E-1
1.630329708E0,1.070111156E0,7.446162105E-1,-5.151599050E-1
1.640352708E0,1.254550457E0,5.426462889E-1,-3.648009896E-1
1.650375708E0,1.333010554E0,3.646713793E-1,-3.358461559E-1
1.660399708E0,1.299611568E0,1.344141960E-1,-4.568695128E-1
1.670422708E0,1.117443562E0,6.826236099E-2,-6.205171347E-1
1.680445708E0,9.337467551E-1,1.633285545E-2,-6.876099110E-1
1.690468708E0,7.069681287E-1,2.082403749E-2,-7.802286148E-1
1.700491708E0,5.050123930E-1,1.436367780E-1,-9.504584074E-1
1.710515708E0,4.616708457E-1,4.528367519E-1,-1.157815695E0
1.720538708E0,4.200909138E-1,6.708066463E-1,-1.331293702E0
1.730561708E0,4.460147619E-1,7.318107486E-1,-1.407134414E0
1.740584708E0,5.327903628E-1,8.318867683E-1,-1.348778367E0
1.750607708E0,7.370651960E-1,6.933810711E-1,-1.210779786E0
1.760631708E0,8.953008652E-1,5.105654001E-1,-9.917528033E-1
1.770654708E0,9.512118101E-1,2.897004187E-1,-7.473713160E-1
1.780677708E0,9.151347876E-1,1.388307512E-1,-5.470541716E-1
1.790700708E0,8.223682046E-1,2.317693830E-2,-4.561690390E-1
1.800723708E0,6.944800019E-1,-5.446938425E-2,-4.481244385E-1
1.810746708E0,5.367773771E-1,-1.397136748E-1,-4.518314600E-1
1.820770708E0,4.088093042E-1,-2.080490589E-1,-4.336670935E-1
1.830793708E0,3.677571714E-1,-2.490612566E-1,-4.081403911E-1
1.840816708E0,4.277688563E-1,-2.903402448E-1,-3.678523600E-1
1.850839708E0,5.546764135E-1,-3.031947911E-1,-3.177692592E-1
1.860862708E0,6.902161241E-1,-2.673166990E-1,-2.504477501E-1
1.870886708E0,7.169050574E-1,-2.284021080E-1,-1.664903462E-1
1.880909708E0,5.744877458E-1,-5.689560995E-2,-2.862674557E-2
1.890932708E0,6.041962504E-1,6.498558074E-2,-3.433241509E-4
1.900955708E0,6.654223204E-1,1.089061648E-1,-7.246359438E-2
1.910978708E0,7.861645818E-1,2.004021853E-1,-2.268240601E-1
1.921002708E0,7.831222415E-1,1.762049645E-1,-3.584721088E-1
1.931025708E0,6.161508560E-1,2.389442325E-1,-4.090928733E-1
1.941048708E0,4.438349903E-1,2.930660546E-1,-3.707665205E-1
1.951071708E0,3.139052093E-1,3.458822072E-1,-2.904042602E-1
1.961094708E0,2.425575107E-1,2.912703454E-1,-2.063303888E-1
1.971118708E0,2.269011438E-1,1.644320637E-1,-1.937153339E-1
1.981141708E0,1.583340615E-1,8.595058322E-2,-2.488763183E-1
1.991164708E0,2.396179736E-2,4.123649001E-2,-2.961815596E-1
2.001187708E0,-1.675359905E-1,7.555025071E-2,-2.940185368E-1
2.011210708E0,-3.461473584E-1,9.700373560E-2,-2.491235733E-1
2.021234708E0,-4.295769930E-1,3.454915062E-2,-1.808169484E-1
2.031257708E0,-4.381648898E-1,-8.889660239E-2,-9.301116318E-2
2.041280708E0,-4.054290354E-1,-2.644348741E-1,5.660552531E-3
2.051303708E0,-3.921757042E-1,-3.737899363E-1,8.897589892E-2
2.061326708E0,-4.075935185E-1,-4.237170219E-1,1.736846715E-1
2.071350708E0,-4.165499508E-1,-4.092213809E-1,2.840851545E-1
2.081373708E0,-4.318979979E-1,-3.535487950E-1,3.755399883E-1
2.091396708E0,-4.326726496E-1,-3.137199283E-1,4.111666083E-1
2.101419708E0,-4.324463010E-1,-2.781853676E-1,4.057865143E-1
2.111442708E0,-4.389673769E-1,-2.331505120E-1,4.129705429E-1
2.121465708E0,-4.043055177E-1,-1.969640106E-1,4.432567954E-1
2.131489708E0,-3.326045871E-1,-1.648548841E-1,4.503821135E-1
2.141512708E0,-2.269788086E-1,-1.206666604E-1,4.149924219E-1
2.151535708E0,-9.619063139E-2,-1.581532359E-1,4.215794206E-1
2.161558708E0,5.064754933E-2,-8.549287170E-2,4.377224147E-1
2.171581708E0,1.121578962E-1,9.409420192E-2,3.380017579E-1
2.181605708E0,4.124537855E-2,2.680939734E-1,1.595169902E-1
2.191628708E0,-9.789898247E-2,4.179987013E-1,-1.894558780E-2
2.201651708E0,-1.879764050E-1,5.306453705E-1,-1.196468994E-1
2.211674708E0,-2.897733450E-1,5.955551863E-1,-1.424457580E-1
2.221697708E0,-3.572371006E-1,5.445463061E-1,-3.978622705E-2
2.231721708E0,-3.302859068E-1,4.115978777E-1,1.484576464E-1
2.241744708E0,-3.017261624E-1,3.225787878E-1,2.565220594E-1
2.251767708E0,-2.762136161E-1,2.046521008E-1,2.729474306E-1
2.261790708E0,-3.030318916E-1,1.699899882E-1,2.510421574E-1
2.271813708E0,-3.620817661E-1,2.201286256E-1,2.525230944E-1
2.281837708E0,-3.863583505E-1,2.442989498E-1,2.457906306E-1
2.291860708E0,-3.990764022E-1,2.683475018E-1,2.234477401E-1
2.301883708E0,-4.343065619E-1,2.723097503E-1,1.866638958E-1
2.311906708E0,-4.801121950E-1,3.261424601E-1,1.354126185E-1
2.321929708E0,-5.159884691E-1,3.852116466E-1,7.106852531E-2
2.331953708E0,-5.321964622E-1,4.073933959E-1,3.505721688E-3
2.341976708E0,-5.289146304E-1,4.127426147E-1,-2.981095575E-2
2.351999708E0,-5.049977303E-1,3.819363713E-1,-2.171142399E-2
2.362022708E0,-4.576965868E-1,3.168745637E-1,-1.027714275E-2
2.372045708E0,-3.991177380E-1,2.593282461E-1,-2.462437749E-2
2.382068792E0,-3.590257168E-1,2.211515605E-1,-3.889333084E-2
2.392092792E0,-3.410174251E-1,2.515057921E-1,-5.812781304E-2
2.402115792E0,-2.877890766E-1,2.770974338E-1,-6.791493297E-2
2.412138792E0,-2.489527315E-1,3.585782647E-1,-9.484738857E-2
2.422161792E0,-2.001998425E-1,4.451088905E-1,-1.550449580E-1
2.432184792E0,-1.716221422E-1,5.023346543E-1,-2.292873412E-1
2.442208792E0,-1.848993301E-1,5.849943757E-1,-3.123931289E-1
