"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.659566667E-2,-1.470959191E0,-1.001448532E0,1.063302133E0
2.661966667E-2,-1.011578541E0,-1.327032609E0,1.160364743E0
3.664266667E-2,-7.881494138E-1,-1.759983845E0,6.819793265E-1
4.666566667E-2,-4.363461292E-1,-1.645744454E0,5.567859077E-1
5.668866666E-2,-8.081319809E-2,-1.563678782E0,7.222059774E-1
6.671166667E-2,2.660173219E-1,-1.555659326E0,3.621017662E-1
7.673566667E-2,6.742202175E-1,-1.642052522E0,-2.083561011E-1
8.675866666E-2,7.721663421E-1,-1.644130037E0,-6.125143314E-1
9.678166667E-2,7.121502283E-1,-1.564295079E0,-7.131145804E-1
1.068046667E-1,3.698144630E-1,-1.416803157E0,-7.589626714E-1
1.168276667E-1,-6.557389230E-2,-1.379062303E0,-7.825608643E-1
1.268516667E-1,-2.847374752E-1,-1.356050001E0,-9.578743498E-1
1.368746667E-1,-3.976758608E-1,-1.274556772E0,-7.908908077E-1
1.468976667E-1,-3.065095827E-1,-1.211542498E0,-2.205499578E-1
1.569206667E-1,-3.039294988E-2,-1.100498611E0,1.922073340E-1
1.669436667E-1,-3.508572051E-1,-8.643816108E-1,2.022325315E-2
1.769676667E-1,-8.111804268E-1,-7.931683713E-1,-2.604595435E-1
1.869906667E-1,-3.933421969E-3,-8.896749115E-1,4.600063026E-1
1.970136667E-1,5.017174155E-2,-7.919281769E-1,6.434907603E-1
2.070366667E-1,-1.351867488E-1,-7.607876605E-1,3.503381916E-1
2.170596667E-1,1.232359171E-2,-7.681738633E-1,-1.090552497E-1
2.270826667E-1,-4.269110620E-2,-6.641530663E-1,-4.016885857E-1
2.371066667E-1,-1.253011537E-1,-6.112959909E-1,-4.494930089E-1
2.471296667E-1,-2.083678687E-1,-4.969449180E-1,-4.383856380E-1
2.571526667E-1,-2.407439017E-1,-3.368469840E-1,-5.797712028E-1
2.671756667E-1,-2.210899481E-1,-2.342932534E-1,-7.210599232E-1
