"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
5.505895615E-2,4.381504006E1,-1.117849385E2,1.515070190E3,-1.000000000E0,-1.000000000E0,4.430531323E2,4.430531323E2
1.459126949E0,4.381465021E1,-1.117846734E2,1.508282555E3,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
2.625348806E0,4.381490325E1,-1.117849763E2,1.510047573E3,1.200000048E0,4.500000000E1,1.150844064E1,1.150844064E1
3.345347643E0,4.381500701E1,-1.117848715E2,1.508787319E3,1.599999964E-1,4.500000000E1,1.227337262E1,1.227337262E1
4.345347643E0,4.381500701E1,-1.117848715E2,1.508787319E3,1.599999964E-1,-1.000000000E0,1.227337262E1,1.227337262E1
5.345347404E0,4.381496067E1,-1.117848787E2,1.508154995E3,7.300000191E-1,1.891406240E2,7.692210530E0,7.692210530E0
6.345347166E0,4.381498996E1,-1.117848724E2,1.508419888E3,0.000000000E0,-1.000000000E0,7.360627430E0,7.360627430E0
7.345346570E0,4.381497730E1,-1.117848850E2,1.507940273E3,0.000000000E0,-1.000000000E0,5.415912356E0,5.415912356E0
8.345431924E0,4.381497089E1,-1.117848869E2,1.507822964E3,0.000000000E0,-1.000000000E0,5.687773419E0,5.687773419E0
9.345428228E0,4.381496238E1,-1.117848859E2,1.507642422E3,0.000000000E0,-1.000000000E0,5.113172030E0,5.113172030E0
1.034542823E1,4.381495785E1,-1.117848902E2,1.507383877E3,0.000000000E0,-1.000000000E0,4.833394767E0,4.833394767E0
1.134543037E1,4.381495291E1,-1.117848935E2,1.507506191E3,0.000000000E0,-1.000000000E0,4.765367489E0,4.765367489E0
1.234542954E1,4.381495086E1,-1.117848976E2,1.507547817E3,0.000000000E0,-1.000000000E0,4.700339143E0,4.700339143E0
1.334543109E1,4.381495077E1,-1.117849032E2,1.507469570E3,0.000000000E0,-1.000000000E0,4.660312749E0,4.660312749E0
1.434543383E1,4.381494889E1,-1.117849068E2,1.507665981E3,1.500000060E-1,-1.000000000E0,4.637666073E0,4.637666073E0
1.534543765E1,4.381495337E1,-1.117849144E2,1.508570156E3,0.000000000E0,-1.000000000E0,4.677868173E0,4.677868173E0
1.634543967E1,4.381495228E1,-1.117849154E2,1.509167812E3,0.000000000E0,-1.000000000E0,4.648082404E0,4.648082404E0
1.734544122E1,4.381494822E1,-1.117849206E2,1.509526821E3,1.800000072E-1,-1.000000000E0,4.608117115E0,4.608117115E0
1.834544158E1,4.381494180E1,-1.117849237E2,1.509775356E3,0.000000000E0,-1.000000000E0,4.582571232E0,4.582571232E0
1.934543908E1,4.381493568E1,-1.117849268E2,1.509903896E3,0.000000000E0,-1.000000000E0,4.582571222E0,4.582571222E0
2.034543622E1,4.381493330E1,-1.117849291E2,1.510099697E3,0.000000000E0,-1.000000000E0,4.582571217E0,4.582571217E0
2.134543669E1,4.381492600E1,-1.117849325E2,1.509602627E3,0.000000000E0,-1.000000000E0,4.582571205E0,4.582571205E0
2.234543908E1,4.381492135E1,-1.117849313E2,1.509703091E3,0.000000000E0,-1.000000000E0,4.582571203E0,4.582571203E0
2.334544241E1,4.381492181E1,-1.117849308E2,1.509912319E3,0.000000000E0,-1.000000000E0,4.582571204E0,4.582571204E0
2.434544563E1,4.381490822E1,-1.117849077E2,1.508293465E3,1.746262579E-2,-1.000000000E0,4.841961231E0,4.841961231E0
2.534544957E1,4.381490640E1,-1.117849098E2,1.508385712E3,7.408432339E-2,-1.000000000E0,4.840952363E0,4.840952363E0
2.634545195E1,4.381490291E1,-1.117849126E2,1.508291065E3,3.107685941E-2,-1.000000000E0,4.849131128E0,4.849131128E0
2.734545434E1,4.381489939E1,-1.117849165E2,1.508265578E3,2.373321780E-2,-1.000000000E0,4.851261304E0,4.851261304E0
2.834545660E1,4.381489712E1,-1.117849224E2,1.508259014E3,4.003123981E-2,-1.000000000E0,4.846057868E0,4.846057868E0
2.934545898E1,4.381489648E1,-1.117849192E2,1.508253589E3,4.070949961E-2,-1.000000000E0,4.849524734E0,4.849524734E0
3.034546030E1,4.381489387E1,-1.117849221E2,1.508279886E3,2.587974566E-2,-1.000000000E0,4.848219157E0,4.848219157E0
3.134546292E1,4.381488718E1,-1.117849302E2,1.508318054E3,4.065975942E-2,-1.000000000E0,4.851631742E0,4.851631742E0
3.234546459E1,4.381488639E1,-1.117849285E2,1.507973443E3,1.618218559E-1,-1.000000000E0,4.845755244E0,4.845755244E0
3.334546554E1,4.381488525E1,-1.117849333E2,1.507828985E3,1.795792781E-1,-1.000000000E0,4.847345401E0,4.847345401E0
3.434546697E1,4.381488886E1,-1.117849348E2,1.507763725E3,2.268960983E-1,-1.000000000E0,4.855533685E0,4.855533685E0
