"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.659566667E-2,2.710854721E1,-4.044506836E1,-1.413253784E1
2.661966667E-2,2.727827835E1,-4.042529297E1,-1.411370850E1
3.664266667E-2,2.729281235E1,-4.043670654E1,-1.401486206E1
4.666566667E-2,2.732617188E1,-4.039169312E1,-1.404386902E1
5.668866666E-2,2.707896614E1,-4.062719727E1,-1.447880554E1
6.671166667E-2,2.723670959E1,-4.074740601E1,-1.424647522E1
7.673566667E-2,2.723107338E1,-4.065609741E1,-1.452430725E1
8.675866666E-2,2.700757217E1,-4.075289917E1,-1.449861145E1
9.678166667E-2,2.692589378E1,-4.080871582E1,-1.473568726E1
1.068046667E-1,2.703662872E1,-4.064721680E1,-1.491677856E1
1.168276667E-1,2.673069000E1,-4.082644653E1,-1.493907166E1
1.268516667E-1,2.668467140E1,-4.076147461E1,-1.532693481E1
1.368746667E-1,2.648475647E1,-4.076657104E1,-1.552778625E1
1.468976667E-1,2.648383713E1,-4.057302856E1,-1.604010010E1
1.569206667E-1,2.634739876E1,-4.043804932E1,-1.609288025E1
1.669436667E-1,2.621600914E1,-4.062265015E1,-1.637260437E1
1.769676667E-1,2.606624603E1,-4.075646973E1,-1.640267944E1
1.869906667E-1,2.639781189E1,-4.082501221E1,-1.606425476E1
1.970136667E-1,2.618382263E1,-4.083251953E1,-1.646102905E1
2.070366667E-1,2.601458931E1,-4.059014893E1,-1.683949280E1
2.170596667E-1,2.593148232E1,-4.069512939E1,-1.660188293E1
2.270826667E-1,2.567020988E1,-4.069976807E1,-1.651112366E1
2.371066667E-1,2.593825150E1,-4.065576172E1,-1.695289612E1
2.471296667E-1,2.611698532E1,-4.066082764E1,-1.739666748E1
2.571526667E-1,2.580525589E1,-4.062496948E1,-1.698855591E1
2.671756667E-1,2.569293594E1,-4.077053833E1,-1.696614075E1
2.771986667E-1,2.559186935E1,-4.056997681E1,-1.684353638E1
2.872226667E-1,2.576224709E1,-4.072570801E1,-1.746418762E1
2.972456667E-1,2.567851257E1,-4.073281860E1,-1.736558533E1
3.072686667E-1,2.556080246E1,-4.088803101E1,-1.749021912E1
3.172916667E-1,2.555951500E1,-4.084106445E1,-1.711973572E1
3.273146667E-1,2.554461861E1,-4.084661865E1,-1.752720642E1
3.373386667E-1,2.575583839E1,-4.078900146E1,-1.759054565E1
3.473616667E-1,2.549030876E1,-4.075262451E1,-1.732749939E1
3.573846667E-1,2.520748520E1,-4.077069092E1,-1.685865784E1
3.674076667E-1,2.531603432E1,-4.064974976E1,-1.659997559E1
3.774305833E-1,2.537962151E1,-4.090838623E1,-1.624362183E1
3.874535833E-1,2.558985138E1,-4.124621582E1,-1.641580200E1
3.974775833E-1,2.592478943E1,-4.117929077E1,-1.572668457E1
4.075005833E-1,2.590402412E1,-4.111428833E1,-1.554602051E1
4.175235833E-1,2.607334900E1,-4.119430542E1,-1.513735962E1
4.275465833E-1,2.625951767E1,-4.145465088E1,-1.495181274E1
4.375695833E-1,2.632287407E1,-4.137567139E1,-1.431927490E1
4.475935833E-1,2.649719048E1,-4.148181152E1,-1.375491333E1
4.576165833E-1,2.677680206E1,-4.125503540E1,-1.340779114E1
4.676395833E-1,2.706409264E1,-4.128631592E1,-1.283256531E1
