time,gFx,gFy,gFz,wx,wy,wz,p,Bx,By,Bz,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s)
0.0,0.19,-0.42,0.67,0.46,0.19,-0.05,849.46,-22.27,-13.1,-18.81,-0.0,-0.32,-1.57,43.819298,-111.782806,0.0
0.010000000000005116,0.19,-0.43,0.67,0.45,0.18,-0.06,849.46,-22.27,-13.1,-18.81,-0.0,-0.32,-1.57,43.819298,-111.782806,0.0
0.020000000000010232,0.18,-0.43,0.66,0.44,0.18,-0.06,849.46,-22.27,-13.1,-18.81,-0.0,-0.32,-1.57,43.819298,-111.782806,0.0
0.030000000000001137,0.18,-0.43,0.66,0.44,0.18,-0.07,849.46,-22.27,-13.1,-18.81,-0.0,-0.32,-1.57,43.819298,-111.782806,0.0
0.04999999999999716,0.18,-0.43,0.66,0.45,0.18,-0.08,849.46,-22.27,-13.1,-18.81,-0.0,-0.33,-1.57,43.819298,-111.782806,0.0
0.060000000000002274,0.18,-0.44,0.66,0.45,0.18,-0.09,849.46,-22.27,-13.1,-18.81,-0.0,-0.33,-1.57,43.819298,-111.782806,0.0
0.07000000000000739,0.17,-0.44,0.66,0.45,0.17,-0.1,849.46,-22.27,-13.1,-18.81,-0.0,-0.33,-1.57,43.819298,-111.782806,0.0
0.09000000000000341,0.17,-0.45,0.66,0.45,0.17,-0.13,849.46,-22.27,-13.1,-18.81,-0.0,-0.34,-1.57,43.819298,-111.782806,0.0
0.10000000000000853,0.17,-0.45,0.65,0.46,0.17,-0.16,849.46,-22.27,-13.1,-18.81,-0.0,-0.34,-1.57,43.819298,-111.782806,0.0
0.10999999999999943,0.17,-0.45,0.66,0.46,0.17,-0.18,849.46,-22.27,-13.1,-18.81,-0.0,-0.34,-1.57,43.819298,-111.782806,0.0
0.12000000000000455,0.17,-0.44,0.66,0.45,0.17,-0.19,849.46,-22.27,-13.1,-18.81,-0.0,-0.35,-1.57,43.819298,-111.782806,0.0
0.14000000000000057,0.18,-0.44,0.66,0.44,0.17,-0.2,849.46,-22.27,-13.1,-18.81,-0.0,-0.35,-1.57,43.819298,-111.782806,0.0
0.15000000000000568,0.18,-0.44,0.66,0.43,0.17,-0.21,849.46,-22.27,-13.1,-18.81,-0.0,-0.35,-1.57,43.819298,-111.782806,0.0
0.1599999999999966,0.18,-0.44,0.66,0.43,0.17,-0.22,849.46,-22.27,-13.1,-18.81,-0.0,-0.36,-1.57,43.819298,-111.782806,0.0
0.1700000000000017,0.18,-0.44,0.66,0.43,0.18,-0.23,849.17,-22.27,-13.1,-18.81,0.0,-0.36,-1.57,43.819298,-111.782806,0.0
0.18000000000000682,0.18,-0.44,0.67,0.43,0.18,-0.24,849.17,-21.18,-14.18,-18.11,0.0,-0.37,-1.57,43.819298,-111.782806,0.0
0.20000000000000284,0.18,-0.44,0.67,0.42,0.17,-0.25,849.17,-21.18,-14.18,-18.11,0.0,-0.37,-1.57,43.819298,-111.782806,0.0
0.21000000000000796,0.19,-0.43,0.66,0.41,0.17,-0.25,849.17,-21.18,-14.18,-18.11,0.0,-0.37,-1.57,43.819298,-111.782806,0.0
0.21999999999999886,0.19,-0.42,0.65,0.4,0.17,-0.25,849.17,-21.18,-14.18,-18.11,0.0,-0.38,-1.57,43.819298,-111.782806,0.0
0.23000000000000398,0.19,-0.42,0.64,0.39,0.17,-0.25,849.17,-21.18,-14.18,-18.11,0.0,-0.38,-1.57,43.819298,-111.782806,0.0
0.2400000000000091,0.19,-0.42,0.63,0.39,0.18,-0.24,849.17,-21.18,-14.18,-18.11,0.0,-0.39,-1.57,43.819298,-111.782806,0.0
