time,gFx,gFy,gFz,wx,wy,wz,p,Bx,By,Bz,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s)
1.00E-05,-0.18,-0.51,0.58,-0.07,0.12,-0.49,848.64,-4.59,-31.74,-69.08,-0.44,-0.72,-0.49,43.878021,-111.780182,1.00E-05
0.01,-0.18,-0.49,0.56,-0.03,-0.07,-0.45,848.64,-4.59,-31.74,-69.08,-0.45,-0.72,-0.49,43.878021,-111.780182,1.00E-05
0.02,-0.18,-0.48,0.53,-0.03,-0.22,-0.37,848.64,-4.59,-31.74,-69.08,-0.45,-0.72,-0.49,43.878021,-111.780182,1.00E-05
0.03,-0.19,-0.49,0.47,-0.03,-0.33,-0.24,848.64,-4.59,-31.74,-69.08,-0.45,-0.72,-0.48,43.878021,-111.780182,1.00E-05
0.04,-0.2,-0.51,0.43,-0.05,-0.37,-0.12,848.64,-4.59,-31.74,-69.08,-0.45,-0.72,-0.48,43.878021,-111.780182,1.00E-05
0.06,-0.22,-0.54,0.36,-0.07,-0.34,0.03,848.64,-4.59,-31.74,-69.08,-0.45,-0.72,-0.48,43.878021,-111.780182,1.00E-05
0.07,-0.25,-0.58,0.32,-0.07,-0.29,0.11,848.64,-4.05,-32.28,-70.65,-0.45,-0.71,-0.48,43.878021,-111.780182,1.00E-05
0.08,-0.28,-0.61,0.29,-0.06,-0.22,0.15,848.64,-4.05,-32.28,-70.65,-0.44,-0.71,-0.47,43.878021,-111.780182,1.00E-05
0.09,-0.3,-0.66,0.27,-0.06,-0.12,0.15,848.64,-4.05,-32.28,-70.65,-0.44,-0.7,-0.47,43.878021,-111.780182,1.00E-05
0.1,-0.31,-0.69,0.26,-0.08,-0.02,0.14,848.64,-4.05,-32.28,-70.65,-0.44,-0.7,-0.47,43.878021,-111.780182,1.00E-05
0.12,-0.31,-0.72,0.25,-0.11,0.08,0.12,848.64,-4.05,-32.28,-70.65,-0.44,-0.69,-0.47,43.878021,-111.780182,1.00E-05
0.13,-0.31,-0.77,0.25,-0.15,0.23,0.04,848.64,-4.05,-32.28,-70.65,-0.44,-0.69,-0.46,43.878021,-111.780182,1.00E-05
0.14,-0.3,-0.79,0.26,-0.18,0.35,-0.07,848.64,-4.05,-32.28,-70.65,-0.44,-0.69,-0.46,43.878021,-111.780182,1.00E-05
0.15,-0.29,-0.79,0.28,-0.2,0.44,-0.17,848.64,-4.05,-32.28,-70.65,-0.44,-0.69,-0.46,43.878021,-111.780182,1.00E-05
0.17,-0.26,-0.78,0.3,-0.21,0.51,-0.28,848.64,-4.05,-32.28,-70.65,-0.44,-0.69,-0.45,43.878021,-111.780182,1.00E-05
0.18,-0.24,-0.76,0.32,-0.22,0.57,-0.39,848.64,-4.05,-32.28,-70.65,-0.45,-0.7,-0.45,43.878021,-111.780182,1.00E-05
0.19,-0.23,-0.73,0.35,-0.2,0.6,-0.49,848.64,-4.05,-32.28,-70.65,-0.45,-0.7,-0.45,43.878021,-111.780182,1.00E-05
0.21,-0.24,-0.67,0.39,-0.13,0.56,-0.66,848.64,-2.96,-31.56,-72.03,-0.46,-0.71,-0.44,43.878021,-111.780182,1.00E-05
0.22,-0.26,-0.63,0.41,-0.06,0.46,-0.77,848.64,-2.96,-31.56,-72.03,-0.47,-0.72,-0.44,43.878021,-111.780182,1.00E-05
0.23,-0.28,-0.58,0.43,0.03,0.32,-0.88,848.64,-2.96,-31.56,-72.03,-0.47,-0.73,-0.43,43.878021,-111.780182,1.00E-05
0.24,-0.28,-0.52,0.44,0.11,0.16,-0.95,848.64,-2.96,-31.56,-72.03,-0.48,-0.73,-0.43,43.878021,-111.780182,1.00E-05
0.25,-0.27,-0.45,0.43,0.18,-0.03,-0.95,848.64,-2.96,-31.56,-72.03,-0.49,-0.74,-0.43,43.878021,-111.780182,1.00E-05
0.26,-0.25,-0.4,0.42,0.2,-0.16,-0.86,848.64,-2.96,-31.56,-72.03,-0.49,-0.75,-0.43,43.878021,-111.780182,1.00E-05
0.28,-0.2,-0.36,0.38,0.17,-0.25,-0.62,848.64,-2.96,-31.56,-72.03,-0.5,-0.75,-0.43,43.878021,-111.780182,1.00E-05
0.29,-0.18,-0.37,0.35,0.1,-0.22,-0.4,848.64,-2.96,-31.56,-72.03,-0.5,-0.75,-0.43,43.878021,-111.780182,1.00E-05
