time,gFx,gFy,gFz,wx,wy,wz,Altitude,Bx,By,Bz,Azimuth,Pitch,Roll,Latitude,Longitude,Speed
-5.00E-06,-0.0508,-0.0151,0.9855,0.0031,0.0012,-0.0012,869.0192,5.22,26.88,-41.64,353.7386,0.8357,-2.9652,41.69486814,-112.2962295,0
0.001415,-0.0508,-0.0151,0.9855,0.0031,0.0012,-0.0012,869.0192,5.22,26.88,-41.64,353.7386,0.8357,-2.9652,41.69486814,-112.2962295,0
0.011223,-0.0508,-0.0151,0.9855,0.0031,0.0012,-0.0012,869.0192,5.64,26.88,-41.46,353.7386,0.8357,-2.9652,41.69486814,-112.2962295,0
0.014867,-0.0508,-0.0151,0.9855,-0.0012,0,0.0012,869.0192,5.64,26.88,-41.46,353.7386,0.8357,-2.9652,41.69486814,-112.2962295,0
0.019046,-0.0513,-0.0149,0.9855,-0.0012,0,0.0012,869.0192,5.64,26.88,-41.46,353.7386,0.8357,-2.9652,41.69486814,-112.2962295,0
0.020739,-0.0513,-0.0149,0.9855,-0.0012,0,0.0012,869.0192,5.64,26.88,-41.46,353.3979,0.837,-2.9653,41.69486814,-112.2962295,0
0.022488,-0.0513,-0.0149,0.9855,-0.0012,0,0.0012,869.0192,5.64,26.88,-41.46,353.3979,0.837,-2.9653,41.69486814,-112.2962295,0
0.035181,-0.0513,-0.0149,0.9855,0.0006,-0.0006,0,869.0192,5.64,26.88,-41.46,353.3979,0.837,-2.9653,41.69486814,-112.2962295,0
0.039278,-0.0491,-0.0132,0.9858,0.0006,-0.0006,0,869.0192,5.64,26.88,-41.46,353.3979,0.837,-2.9653,41.69486814,-112.2962295,0
0.04106,-0.0491,-0.0132,0.9858,0.0006,-0.0006,0,869.0192,5.64,26.88,-41.46,353.3979,0.8363,-2.9646,41.69486814,-112.2962295,0
0.042781,-0.0491,-0.0132,0.9858,0.0006,-0.0006,0,869.0192,5.64,26.88,-41.46,353.3979,0.8363,-2.9646,41.69486814,-112.2962295,0
0.051663,-0.0491,-0.0132,0.9858,0.0006,-0.0006,0,869.0192,5.4,26.76,-41.16,353.3979,0.8363,-2.9646,41.69486814,-112.2962295,0
0.055501,-0.0491,-0.0132,0.9858,0.0031,-0.0006,0.0006,869.0192,5.4,26.76,-41.16,353.3979,0.8363,-2.9646,41.69486814,-112.2962295,0
