time,gFx,gFy,gFz,wx,wy,wz,Bx,By,Bz,Azimuth,Pitch,Roll,Latitude,Longitude,Speed,Altitude 
0.043405,-0.1004,0.224,0.9435,-0.0446,0.0165,0.0336,7.26,-0.6,-48.96,348.4988,-13.2847,-6.0748,43.81616845,-111.7846068,0,1502.177
0.044202,-0.1004,0.224,0.9435,-0.0446,0.0165,0.0336,7.26,-0.6,-48.96,348.4988,-13.2847,-6.0748,43.81616845,-111.7846068,0,1502.177
0.057981,-0.1004,0.224,0.9435,-0.0134,0.036,0.0336,7.26,-0.6,-48.96,348.4988,-13.2847,-6.0748,43.81616845,-111.7846068,0,1502.177
0.062304,-0.0894,0.2118,0.9406,-0.0134,0.036,0.0336,7.26,-0.6,-48.96,348.4988,-13.2847,-6.0748,43.81616845,-111.7846068,0,1502.177
0.063412,-0.0894,0.2118,0.9406,-0.0134,0.036,0.0336,7.26,-0.6,-48.96,348.4123,-13.1079,-5.8986,43.81616845,-111.7846068,0,1502.177
0.064243,-0.0894,0.2118,0.9406,-0.0134,0.036,0.0336,7.26,-0.6,-48.96,348.4123,-13.1079,-5.8986,43.81616845,-111.7846068,0,1502.177
0.070914,-0.0894,0.2118,0.9406,-0.0134,0.036,0.0336,6.42,1.86,-48.72,348.4123,-13.1079,-5.8986,43.81616845,-111.7846068,0,1502.177
0.078795,-0.0894,0.2118,0.9406,0.0324,0.0654,0.0354,6.42,1.86,-48.72,348.4123,-13.1079,-5.8986,43.81616845,-111.7846068,0,1502.177
0.082201,-0.0936,0.206,0.9577,0.0324,0.0654,0.0354,6.42,1.86,-48.72,348.4123,-13.1079,-5.8986,43.81616845,-111.7846068,0,1502.177
0.083609,-0.0936,0.206,0.9577,0.0324,0.0654,0.0354,6.42,1.86,-48.72,353.8228,-12.8219,-5.8095,43.81616845,-111.7846068,0,1502.177
0.085017,-0.0936,0.206,0.9577,0.0324,0.0654,0.0354,6.42,1.86,-48.72,353.8228,-12.8219,-5.8095,43.81616845,-111.7846068,0,1502.177
0.098195,-0.0936,0.206,0.9577,0.0232,0.0476,0.0574,6.42,1.86,-48.72,353.8228,-12.8219,-5.8095,43.81616845,-111.7846068,0,1502.177
0.102868,-0.1141,0.1827,0.9811,0.0232,0.0476,0.0574,6.42,1.86,-48.72,353.8228,-12.8219,-5.8095,43.81616845,-111.7846068,0,1502.177
0.103628,-0.1141,0.1827,0.9811,0.0232,0.0476,0.0574,6.42,1.86,-48.72,353.8028,-12.1675,-6.0418,43.81616845,-111.7846068,0,1502.177
0.104413,-0.1141,0.1827,0.9811,0.0232,0.0476,0.0574,6.42,1.86,-48.72,353.8028,-12.1675,-6.0418,43.81616845,-111.7846068,0,1502.177
0.110857,-0.1141,0.1827,0.9811,0.0232,0.0476,0.0574,6.24,3.36,-48.9,353.8028,-12.1675,-6.0418,43.81616845,-111.7846068,0,1502.177
0.118199,-0.1141,0.1827,0.9811,0.0788,0.0825,0.121,6.24,3.36,-48.9,353.8028,-12.1675,-6.0418,43.81616845,-111.7846068,0,1502.177
0.122088,-0.1075,0.2147,1.0007,0.0788,0.0825,0.121,6.24,3.36,-48.9,353.8028,-12.1675,-6.0418,43.81616845,-111.7846068,0,1502.177
0.122977,-0.1075,0.2147,1.0007,0.0788,0.0825,0.121,6.24,3.36,-48.9,354.2739,-12.1314,-6.0667,43.81616845,-111.7846068,0,1502.177
0.123698,-0.1075,0.2147,1.0007,0.0788,0.0825,0.121,6.24,3.36,-48.9,354.2739,-12.1314,-6.0667,43.81616845,-111.7846068,0,1502.177
0.138032,-0.1075,0.2147,1.0007,0.16,0.0739,0.1729,6.24,3.36,-48.9,354.2739,-12.1314,-6.0667,43.81616845,-111.7846068,0,1502.177
0.143499,-0.0977,0.1989,0.9987,0.16,0.0739,0.1729,6.24,3.36,-48.9,354.2739,-12.1314,-6.0667,43.81616845,-111.7846068,0,1502.177
0.144987,-0.0977,0.1989,0.9987,0.16,0.0739,0.1729,6.24,3.36,-48.9,354.0559,-11.8748,-5.933,43.81616845,-111.7846068,0,1502.177
0.14625,-0.0977,0.1989,0.9987,0.16,0.0739,0.1729,6.24,3.36,-48.9,354.0559,-11.8748,-5.933,43.81616845,-111.7846068,0,1502.177
0.151379,-0.0977,0.1989,0.9987,0.16,0.0739,0.1729,5.52,4.5,-48.6,354.0559,-11.8748,-5.933,43.81616845,-111.7846068,0,1502.177
0.158414,-0.0977,0.1989,0.9987,0.1686,0.0825,0.168,5.52,4.5,-48.6,354.0559,-11.8748,-5.933,43.81616845,-111.7846068,0,1502.177
0.16288,-0.0923,0.2387,0.9438,0.1686,0.0825,0.168,5.52,4.5,-48.6,354.0559,-11.8748,-5.933,43.81616845,-111.7846068,0,1502.177
0.164074,-0.0923,0.2387,0.9438,0.1686,0.0825,0.168,5.52,4.5,-48.6,357.1664,-12.4815,-5.8406,43.81616845,-111.7846068,0,1502.177
0.165033,-0.0923,0.2387,0.9438,0.1686,0.0825,0.168,5.52,4.5,-48.6,357.1664,-12.4815,-5.8406,43.81616845,-111.7846068,0,1502.177
0.178343,-0.0923,0.2387,0.9438,0.1057,0.1613,0.1222,5.52,4.5,-48.6,357.1664,-12.4815,-5.8406,43.81616845,-111.7846068,0,1502.177
0.182617,-0.1043,0.2333,0.9247,0.1057,0.1613,0.1222,5.52,4.5,-48.6,357.1664,-12.4815,-5.8406,43.81616845,-111.7846068,0,1502.177
0.183822,-0.1043,0.2333,0.9247,0.1057,0.1613,0.1222,5.52,4.5,-48.6,357.0335,-12.9086,-5.999,43.81616845,-111.7846068,0,1502.177
0.184926,-0.1043,0.2333,0.9247,0.1057,0.1613,0.1222,5.52,4.5,-48.6,357.0335,-12.9086,-5.999,43.81616845,-111.7846068,0,1502.177
0.191796,-0.1043,0.2333,0.9247,0.1057,0.1613,0.1222,5.82,4.38,-48.36,357.0335,-12.9086,-5.999,43.81616845,-111.7846068,0,1502.177
0.198535,-0.1043,0.2333,0.9247,0.1839,0.295,0.102,5.82,4.38,-48.36,357.0335,-12.9086,-5.999,43.81616845,-111.7846068,0,1502.177
0.203094,-0.1466,0.2924,0.9179,0.1839,0.295,0.102,5.82,4.38,-48.36,357.0335,-12.9086,-5.999,43.81616845,-111.7846068,0,1502.177
0.204484,-0.1466,0.2924,0.9179,0.1839,0.295,0.102,5.82,4.38,-48.36,357.0482,-14.1499,-6.8224,43.81616845,-111.7846068,0,1502.177
0.205685,-0.1466,0.2924,0.9179,0.1839,0.295,0.102,5.82,4.38,-48.36,357.0482,-14.1499,-6.8224,43.81616845,-111.7846068,0,1502.177
0.219274,-0.1466,0.2924,0.9179,0.2737,0.6774,0.2908,5.82,4.38,-48.36,357.0482,-14.1499,-6.8224,43.81616845,-111.7846068,0,1502.177
0.22282,-0.2116,0.3591,0.8187,0.2737,0.6774,0.2908,5.82,4.38,-48.36,357.0482,-14.1499,-6.8224,43.81616845,-111.7846068,0,1502.177
0.224038,-0.2116,0.3591,0.8187,0.2737,0.6774,0.2908,5.82,4.38,-48.36,357.0298,-16.4883,-8.7472,43.81616845,-111.7846068,0,1502.177
0.225122,-0.2116,0.3591,0.8187,0.2737,0.6774,0.2908,5.82,4.38,-48.36,357.0298,-16.4883,-8.7472,43.81616845,-111.7846068,0,1502.177
