Time_s,xAccel_m_s2,yAccel_m_s2,zAccel_m_s2,xRate_rad_s,yRate_rad_s,zRate_rad_s,xMag_uT,yMag_uT,zMag_uT,e0,e1,e2,e3,u_m_s,v_m_s,w_m_s,gx_m_s2,gy_m_s2,gz_m_s2,xI_m,yI_m,zI_m,GPS_lat_deg,GPS_long_deg,Alt_m,delta_t,delta_e,delta_a,delta_r
0.0393128,-13.4979,-0.000189526,2.0528,0.0882191,-0.0890376,0.00702633,-19.7123,0.159376,49.1976,0.92443,0.00149872,0.38135,-0.000482061,2.42532,0.000663319,0.363699,-6.91002,0.0231206,6.94918,5.10829,5.19395e-07,-4.09066,43.816246196,-111.783996582,1673.090698242,0.907730699,0.063882060,-0.087939702,-0.010050251
0.105083942,-13.340644836,-0.000117324,3.385285616,0.138902158,-0.170861885,0.010748080,-19.287584305,0.549579740,49.362808228,0.926050782,0.005161059,0.377359927,-0.001676882,2.860011339,0.005976771,0.628998756,-6.850348949,0.080510773,7.007584572,5.255445480,0.000033757,-4.189009190,43.816247520,-111.783996582,1673.188964844,0.908977568,0.049140047,-0.105527639,0.005025126
0.170718193,-13.262444496,0.000192180,4.657958508,0.164671078,-0.243020698,0.013432337,-18.611873627,1.063381791,49.613182068,0.928565800,0.009965593,0.371019870,-0.003245895,3.293695688,0.018019630,0.793741643,-6.754229546,0.156984508,7.098997116,5.433662891,0.000242841,-4.295125484,43.816249122,-111.783996582,1673.295166016,0.916458845,0.063882060,-0.087939702,0.005025126
0.238919735,-12.968811035,0.000632435,5.935955048,0.179440990,-0.309596747,0.016475080,-17.669309616,1.669859171,49.940040588,0.931958199,0.015607304,0.362194389,-0.005060084,3.752022982,0.037440948,0.861404598,-6.619256020,0.248082861,7.222459316,5.648314953,0.000947528,-4.417268276,43.816251053,-111.783996582,1673.417236328,0.907730699,0.049140047,-0.103015073,-0.010050251
0.302449703,-12.818061829,0.001355946,6.952664852,0.183318287,-0.362967938,0.019354966,-16.593893051,2.268125296,50.284183502,0.935679853,0.021139327,0.352150947,-0.006791551,4.173774719,0.060860928,0.834321618,-6.463306427,0.339547276,7.358694077,5.872132301,0.002459056,-4.544743538,43.816253066,-111.783996582,1673.544799805,0.907730699,0.063882060,-0.087939702,0.005025126
0.369303226,-12.682744980,0.002014875,7.681811810,0.185391948,-0.411462367,0.023560993,-15.280370712,2.914239407,50.665740967,0.940025985,0.027077565,0.339918315,-0.008571521,4.620161057,0.089560345,0.729767680,-6.269551754,0.440703303,7.519207954,6.129992008,0.005458145,-4.695444107,43.816255385,-111.783996582,1673.695434570,0.908977568,0.063882060,-0.087939702,-0.010050251
0.438751698,-12.520997047,0.003110230,7.857258797,0.184609264,-0.452386379,0.028145248,-13.745164871,3.594630003,51.060256958,0.944843292,0.033295672,0.325662583,-0.010323460,5.087134361,0.122703768,0.569111228,-6.040213585,0.549543202,7.697652340,6.421012402,0.010697015,-4.871550083,43.816258002,-111.783996582,1673.871582031,0.908977568,0.049140047,-0.105527639,0.005025126
0.502083778,-12.457588196,0.004148662,7.516676903,0.179601565,-0.480320841,0.033036884,-12.221943855,4.210587978,51.399375916,0.949358642,0.038901445,0.311554462,-0.011779778,5.514227867,0.155342638,0.413054734,-5.809138775,0.650685847,7.865783215,6.707571507,0.017812049,-5.049242496,43.816260579,-111.783996582,1674.049194336,0.916458845,0.063882060,-0.087939702,0.005025126
0.567327976,-12.172928810,0.005131662,6.930127621,0.177885219,-0.503033400,0.038774118,-10.554790497,4.839339733,51.712448120,0.954010546,0.044613797,0.296144605,-0.013111118,5.961026669,0.190769359,0.269519150,-5.551738262,0.756989419,8.040223122,7.025984764,0.027746841,-5.247405052,43.816263443,-111.783996582,1674.247436523,0.908977568,0.012285012,-0.105527639,-0.010050251
0.634731293,-11.966375351,0.006687641,6.338588715,0.169485673,-0.514473379,0.043766078,-8.759843826,5.473301888,51.983734131,0.958694160,0.050377324,0.279577732,-0.014283691,6.416954041,0.229549617,0.150732756,-5.270208359,0.867301762,8.216611862,7.382269859,0.040913042,-5.464879036,43.816266647,-111.783996582,1674.464843750,0.908977568,-0.110565111,-0.175879404,0.005025126
0.701460838,-11.747587204,0.008037508,5.949726582,0.143736541,-0.505870402,0.048112784,-6.966763020,6.039477825,52.191852570,0.963064671,0.055541512,0.263045162,-0.015129036,6.869908810,0.270509660,0.063279770,-4.984376431,0.969511569,8.381888390,7.764719963,0.056905609,-5.689179897,43.816270086,-111.783996582,1674.689208984,0.908977568,-0.312039316,-0.251256287,-0.010050251
0.764696598,-11.528426170,0.010190725,5.814054489,0.103401348,-0.468553096,0.049905162,-5.335837364,6.463200569,52.333126068,0.966805458,0.059435893,0.248020172,-0.015514699,7.300600529,0.311696410,0.004361336,-4.722537518,1.049572110,8.522680283,8.156164169,0.074823745,-5.907164097,43.816273606,-111.783995375,1674.907104492,0.908977568,-0.417690426,-0.286432147,0.005025126
0.829997063,-11.381814957,0.011859417,5.928829193,0.060022790,-0.412487060,0.052233879,-3.806336403,6.753791332,52.429939270,0.970138848,0.062159766,0.233943045,-0.015412548,7.746093273,0.356024563,-0.035864994,-4.469769478,1.110733032,8.650285721,8.591003418,0.096235581,-6.135791302,43.816277517,-111.783995375,1675.135742188,0.916458845,-0.412776411,-0.276381910,-0.010050251
0.896827698,-11.003950119,0.014103293,6.232811928,0.028257042,-0.354351550,0.054090988,-2.437216759,6.918484688,52.489948273,0.972991347,0.063792445,0.221356243,-0.014828367,8.207203865,0.402045041,-0.064379364,-4.242153645,1.151894093,8.758840561,9.068689346,0.121380016,-6.372484684,43.816281813,-111.783994874,1675.372436523,0.907730699,-0.368550360,-0.296482414,-0.010050251
0.960926056,-10.759630203,0.016829610,6.578543663,-0.008471947,-0.304926246,0.054927003,-1.302883863,6.956317425,52.525348663,0.975282133,0.064308211,0.210942805,-0.013870618,8.638914108,0.446017981,-0.087269574,-4.051362514,1.171851873,8.846086502,9.557501793,0.148798019,-6.601811409,43.816286209,-111.783994874,1675.601806641,0.908977568,-0.339066327,-0.286432147,0.005025126
1.030244827,-10.469648361,0.019149423,6.968545437,-0.039029494,-0.255639642,0.057506248,-0.254150003,6.872727871,52.551895142,0.977365017,0.063777350,0.201335251,-0.012420298,9.100933075,0.491650283,-0.110457003,-3.875112772,1.172872305,8.924567223,10.118983269,0.182352141,-6.852444649,43.816291259,-111.783994167,1675.852416992,0.908977568,-0.324324310,-0.288944721,-0.010050251
1.096601486,-10.179145813,0.022123098,7.357919216,-0.069793187,-0.209176570,0.057719287,0.583423734,6.682330132,52.573818207,0.979025781,0.062299855,0.193683162,-0.010681110,9.534891129,0.532539248,-0.131577253,-3.730949879,1.155200362,8.988078117,10.687548637,0.218504325,-7.095385551,43.816296372,-111.783993882,1676.095336914,0.908977568,-0.334152341,-0.306532651,0.007537689
1.159800053,-9.993117332,0.024049520,7.776264191,-0.107773043,-0.160335287,0.058580909,1.222017050,6.382260799,52.600135803,0.980330765,0.059829384,0.187873513,-0.008700590,9.938723564,0.568236232,-0.148511350,-3.621013403,1.118013144,9.037606239,11.256300926,0.256774336,-7.330079079,43.816301487,-111.783993504,1676.330078125,0.916458845,-0.302211314,-0.281407028,-0.010050251
1.227821827,-9.582241058,0.026564717,8.254319191,-0.129784003,-0.114590324,0.058228832,1.739555597,5.953162193,52.635860443,0.981448114,0.056218661,0.183193043,-0.006275574,10.367220879,0.601944029,-0.165214837,-3.531604290,1.059542656,9.079931259,11.897061348,0.302288443,-7.587290287,43.816307249,-111.783992861,1676.587280273,0.908977568,-0.285012275,-0.266331673,-0.010050251
1.293826580,-9.261724472,0.029586852,8.685222626,-0.146161437,-0.072759844,0.057676245,2.087747335,5.468114376,52.675811768,0.982266188,0.052097004,0.180069640,-0.003739522,10.761596680,0.629377425,-0.181574330,-3.471053123,0.990515530,9.111019135,12.545617104,0.350810885,-7.842594147,43.816313082,-111.783992146,1676.842651367,0.907730699,-0.243243247,-0.216080397,0.005025126
1.357491970,-8.984323502,0.030942857,9.050219536,-0.133326501,-0.042842820,0.060795248,2.302369595,4.997121334,52.713638306,0.982821882,0.048118219,0.178169429,-0.001184750,11.125679016,0.649010718,-0.198574692,-3.433518410,0.923383057,9.132270813,13.194457054,0.401666701,-8.095183372,43.816318917,-111.783991531,1677.095214844,0.908977568,-0.199017197,-0.163316578,-0.010050251
1.425917625,-8.654344559,0.033299446,9.314076424,-0.096571930,-0.022533165,0.062568054,2.442506552,4.584602833,52.744808197,0.983200371,0.044744119,0.176953584,0.001527208,11.500185013,0.662056029,-0.221086636,-3.408846378,0.867962003,9.146935463,13.915629387,0.460697740,-8.374607086,43.816325403,-111.783990791,1677.374633789,0.907730699,-0.203931198,-0.150753766,0.007537689
1.492937565,-8.467304230,0.033758104,9.543251991,-0.075319737,0.003642772,0.065121219,2.496200800,4.277649879,52.768089294,0.983374774,0.042363111,0.176529154,0.004121833,11.846721649,0.668069184,-0.242364943,-3.399044275,0.831157207,9.153999329,14.644287109,0.522832453,-8.656924248,43.816331956,-111.783990080,1677.656982422,0.916458845,-0.196560189,-0.128140703,-0.010050251
1.559177876,-8.053644180,0.034505665,9.816778183,-0.052166399,0.030204559,0.064243607,2.456332207,4.052123070,52.787754059,0.983351052,0.040738124,0.176967099,0.006617519,12.177263260,0.669590116,-0.260201603,-3.405364752,0.808311522,9.153696060,15.384768486,0.588418484,-8.944932938,43.816338615,-111.783989287,1677.944946289,0.907730699,-0.230958238,-0.138190955,-0.010050251
1.624182701,-7.773774147,0.036525965,10.206687927,-0.054246962,0.072288767,0.061422341,2.296645641,3.861118078,52.809249878,0.983107924,0.039399825,0.178509161,0.008996556,12.475077629,0.669988334,-0.270425618,-3.432307243,0.790867984,9.145152092,16.129398346,0.656849682,-9.236927986,43.816345312,-111.783988393,1678.236938477,0.907730699,-0.218673214,-0.095477387,0.005025126
1.692481041,-7.491693497,0.036002994,10.681384087,-0.021824135,0.111367650,0.064237691,1.981837034,3.724482775,52.831813812,0.982568622,0.038570359,0.181493729,0.011454315,12.766898155,0.667456567,-0.276984513,-3.485834837,0.783527792,9.125517845,16.928670883,0.733168423,-9.554840088,43.816352500,-111.783987426,1678.554809570,0.907730699,-0.216216221,-0.108040199,-0.010050251
1.758128166,-7.249918938,0.037476182,11.128383636,-0.021133941,0.148167923,0.061321646,1.546907544,3.644786596,52.851890564,0.981787264,0.038221609,0.185589120,0.013766750,13.025898933,0.663807571,-0.282199502,-3.560069084,0.785558343,9.096636772,17.711065292,0.810929060,-9.872696877,43.816359536,-111.783986480,1678.872680664,0.908977568,-0.216216221,-0.108040199,0.005025126
1.825006008,-7.035095215,0.037089109,11.597837448,-0.024381092,0.185581207,0.061571978,0.971640468,3.560003757,52.871376038,0.980734348,0.037786376,0.190976441,0.016137848,13.268961906,0.660230041,-0.285422653,-3.657794476,0.786747932,9.057681084,18.520122528,0.894751906,-10.210492134,43.816366812,-111.783985417,1679.210449219,0.911471307,-0.216216221,-0.092964821,-0.010050251
1.891462326,-6.752727509,0.038135409,12.059802055,-0.015241020,0.222262114,0.059730049,0.268988043,3.491786957,52.884174347,0.979406059,0.037451699,0.197533220,0.018489700,13.490044594,0.656501532,-0.287384450,-3.776868582,0.790454388,9.008354187,19.333742142,0.982802927,-10.561788559,43.816374129,-111.783984328,1679.561767578,0.907730699,-0.216216221,-0.108040199,0.002512563
1.955858707,-6.649567127,0.038890183,12.502994537,-0.028672989,0.256763965,0.059229176,-0.534159958,3.415892363,52.887107849,0.977841914,0.036978289,0.205000907,0.020794639,13.679525375,0.653448999,-0.287640154,-3.912228346,0.792287111,8.950238228,20.128885269,1.072772861,-10.918569565,43.816381280,-111.783983191,1679.918579102,0.915211976,-0.189189196,-0.092964821,0.005025126
2.021166801,-6.371812820,0.037700415,12.842319489,-0.023131784,0.277344644,0.060905699,-1.442984343,3.333426714,52.875385284,0.976004660,0.036399987,0.213427976,0.023204913,13.856500626,0.649018586,-0.290913939,-4.064710140,0.793363094,8.881932259,20.939722061,1.168787718,-11.298343658,43.816388572,-111.783981993,1680.298339844,0.908977568,-0.186732188,-0.118090451,-0.010050251
2.082474232,-6.215148926,0.039030075,13.068237305,-0.050019667,0.295991153,0.056788336,-2.360085487,3.218184471,52.849544525,0.974090040,0.035451576,0.221901700,0.025525874,13.997937202,0.645828843,-0.295214623,-4.217341900,0.787983656,8.810967445,21.702857971,1.263329625,-11.672260284,43.816395435,-111.783980839,1680.672241211,0.908977568,-0.194103196,-0.128140703,0.005025126
2.151284218,-6.062590122,0.037743330,13.347772598,-0.081869759,0.321038246,0.056515068,-3.469656229,2.984883308,52.802001953,0.971707284,0.033355020,0.232100844,0.028311361,14.135235786,0.643403113,-0.297092944,-4.398612022,0.764616549,8.723967552,22.559146881,1.374464035,-12.112649918,43.816403136,-111.783979443,1681.112670898,0.908977568,-0.201474205,-0.143216074,-0.010050251
2.216065407,-5.939223289,0.039305687,13.649133682,-0.118511848,0.347422957,0.052511144,-4.602776051,2.650999784,52.733161926,0.969190001,0.030249912,0.242457271,0.031146592,14.243643761,0.641477168,-0.295981228,-4.585592747,0.723089635,8.630729675,23.362741470,1.483770847,-12.548026085,43.816410363,-111.783978092,1681.547973633,0.908977568,-0.218673214,-0.170854270,0.005025126
2.282214642,-5.918793201,0.039725959,14.040823936,-0.174000770,0.381387800,0.051342275,-5.866094589,2.148431301,52.630535126,0.966276646,0.025499072,0.253925920,0.034365010,14.334638596,0.639102578,-0.290157944,-4.790148735,0.654646635,8.524431229,24.178224564,1.599731445,-13.014232635,43.816417696,-111.783976650,1682.014282227,0.915211976,-0.194103196,-0.158291459,0.005025126
2.351132393,-5.725559711,0.038033187,14.305990219,-0.192194372,0.398921490,0.052985225,-7.273247242,1.506521940,52.476951599,0.962852836,0.019373270,0.266629279,0.038052198,14.413743019,0.630973458,-0.287873417,-5.015095711,0.565385282,8.400544167,25.019655228,1.724635005,-13.524441719,43.816425264,-111.783975085,1682.524414062,0.907730699,-0.191646188,-0.175879404,-0.010050251
2.415225983,-5.666942596,0.039274484,14.414270401,-0.224206433,0.411297381,0.049069591,-8.632110596,0.826568067,52.285789490,0.959349096,0.012823888,0.278834999,0.041665234,14.461760521,0.619227171,-0.288708508,-5.224792480,0.472492278,8.277579308,25.792102814,1.843784332,-14.021976471,43.816432210,-111.783973609,1683.021972656,0.907730699,-0.127764121,-0.163316578,0.005025126
